areacd,category,value
E01012334,Gross value added,79.329
E01012335,Gross value added,10.527
E01012366,Gross value added,474.468
E01033481,Gross value added,42.536
E01033482,Gross value added,113.822
E01012323,Gross value added,14.501
E01012324,Gross value added,6.853
E01032545,Gross value added,5.114
E01032546,Gross value added,13.776
E01012328,Gross value added,3.345
E01012329,Gross value added,18.056
E01012330,Gross value added,6.339
E01012331,Gross value added,5.986
E01012349,Gross value added,38.963
E01012350,Gross value added,4.539
E01012351,Gross value added,4.264
E01012352,Gross value added,11.131
E01012325,Gross value added,6.822
E01012326,Gross value added,17.574
E01012332,Gross value added,6.051
E01012333,Gross value added,7.386
E01012309,Gross value added,80.652
E01012310,Gross value added,7.226
E01012311,Gross value added,4.346
E01012312,Gross value added,5.168
E01012313,Gross value added,80.652
E01012314,Gross value added,1.218
E01012362,Gross value added,3.413
E01012363,Gross value added,7.042
E01012364,Gross value added,14.006
E01012365,Gross value added,11.662
E01012353,Gross value added,2.469
E01012354,Gross value added,52.151
E01012355,Gross value added,187.327
E01033483,Gross value added,126.552
E01033484,Gross value added,259.461
E01012307,Gross value added,53.62
E01012327,Gross value added,10.408
E01012342,Gross value added,68.995
E01012343,Gross value added,301.866
E01012315,Gross value added,25.232
E01012316,Gross value added,28.871
E01012360,Gross value added,16.386
E01012336,Gross value added,27.132
E01012337,Gross value added,15.395
E01012347,Gross value added,6.502
E01012348,Gross value added,10.761
E01012361,Gross value added,11.513
E01012304,Gross value added,20.677
E01012305,Gross value added,3.725
E01012306,Gross value added,7.077
E01012340,Gross value added,15.462
E01012341,Gross value added,3.952
E01012317,Gross value added,3.278
E01012318,Gross value added,4.309
E01012319,Gross value added,42.65
E01012356,Gross value added,32.32
E01012357,Gross value added,11.666
E01012358,Gross value added,7.11
E01012359,Gross value added,3.141
E01012338,Gross value added,23.332
E01012339,Gross value added,22.139
E01012344,Gross value added,8.644
E01012345,Gross value added,57.555
E01012346,Gross value added,7.752
E01020613,Gross value added,8.993
E01020614,Gross value added,7.761
E01020622,Gross value added,11.693
E01020623,Gross value added,3.199
E01020606,Gross value added,3.398
E01020615,Gross value added,7.412
E01020616,Gross value added,14.603
E01020617,Gross value added,6.149
E01020596,Gross value added,4.037
E01020597,Gross value added,7.278
E01020598,Gross value added,46.672
E01020611,Gross value added,12.11
E01020612,Gross value added,114.65
E01020592,Gross value added,3.235
E01020593,Gross value added,48.353
E01020599,Gross value added,3.028
E01020601,Gross value added,12.749
E01020602,Gross value added,6.429
