lsoa21cd,msoa21cd,ltla21cd,rgn21cd,lng,lat,population
E01000001,E02000001,E09000001,E12000007,-0.0962,51.5196,1475
E01000002,E02000001,E09000001,E12000007,-0.0917,51.5192,1384
E01000003,E02000001,E09000001,E12000007,-0.0958,51.5219,1613
E01000005,E02000001,E09000001,E12000007,-0.074,51.5131,1100
E01000006,E02000017,E09000002,E12000007,0.0881,51.5391,1845
E01000007,E02000016,E09000002,E12000007,0.0773,51.5401,2908
E01000008,E02000016,E09000002,E12000007,0.0712,51.5409,1795
E01000009,E02000017,E09000002,E12000007,0.0838,51.5402,1805
E01000011,E02000017,E09000002,E12000007,0.0805,51.543,1701
E01000012,E02000016,E09000002,E12000007,0.0743,51.5429,2347
E01000013,E02000014,E09000002,E12000007,0.1468,51.5433,1871
E01000014,E02000014,E09000002,E12000007,0.1431,51.5444,1751
E01000015,E02000010,E09000002,E12000007,0.1551,51.5439,2418
E01000016,E02000010,E09000002,E12000007,0.1512,51.5495,1851
E01000017,E02000010,E09000002,E12000007,0.1461,51.5495,1724
E01000018,E02000010,E09000002,E12000007,0.1516,51.5466,1776
E01000019,E02006799,E09000002,E12000007,0.1207,51.5587,1657
E01000020,E02006799,E09000002,E12000007,0.125,51.5563,2191
E01000021,E02000009,E09000002,E12000007,0.1161,51.5546,1693
E01000022,E02000009,E09000002,E12000007,0.1213,51.5542,1476
E01000024,E02000009,E09000002,E12000007,0.1209,51.5511,1485
E01000025,E02000009,E09000002,E12000007,0.1181,51.5494,1917
E01000027,E02000002,E09000002,E12000007,0.137,51.5877,2082
E01000028,E02000002,E09000002,E12000007,0.1295,51.5852,1817
E01000029,E02000002,E09000002,E12000007,0.1348,51.58,1819
E01000030,E02000002,E09000002,E12000007,0.1365,51.5836,2563
E01000031,E02000003,E09000002,E12000007,0.1393,51.5758,1770
E01000032,E02000003,E09000002,E12000007,0.1356,51.5741,2078
E01000033,E02000007,E09000002,E12000007,0.1631,51.5551,1543
E01000034,E02000004,E09000002,E12000007,0.1684,51.5551,1575
E01000035,E02000011,E09000002,E12000007,0.1643,51.5486,1859
E01000036,E02000011,E09000002,E12000007,0.1623,51.5457,1470
E01000037,E02000004,E09000002,E12000007,0.1799,51.5626,1697
E01000038,E02000004,E09000002,E12000007,0.1727,51.5631,1616
E01000039,E02000004,E09000002,E12000007,0.1803,51.5588,1751
E01000040,E02000020,E09000002,E12000007,0.0969,51.5367,1879
E01000041,E02000018,E09000002,E12000007,0.116,51.5381,1842
E01000042,E02000018,E09000002,E12000007,0.1069,51.5377,1882
E01000043,E02000020,E09000002,E12000007,0.0984,51.5341,1537
E01000044,E02000017,E09000002,E12000007,0.0907,51.5359,1988
E01000045,E02000018,E09000002,E12000007,0.1127,51.535,1725
E01000046,E02000018,E09000002,E12000007,0.12,51.5365,1956
E01000049,E02000022,E09000002,E12000007,0.0854,51.5306,1973
E01000050,E02000020,E09000002,E12000007,0.0857,51.5347,1839
E01000051,E02000022,E09000002,E12000007,0.0828,51.5341,1107
E01000052,E02000020,E09000002,E12000007,0.0927,51.5326,2368
E01000053,E02000021,E09000002,E12000007,0.1432,51.5327,1617
E01000054,E02000019,E09000002,E12000007,0.1325,51.5369,1873
E01000055,E02000019,E09000002,E12000007,0.126,51.5358,1705
E01000056,E02000019,E09000002,E12000007,0.1367,51.5344,1702
E01000057,E02000013,E09000002,E12000007,0.1268,51.5379,1550
E01000058,E02000019,E09000002,E12000007,0.1362,51.5395,2135
E01000059,E02000014,E09000002,E12000007,0.1413,51.5364,1705
E01000060,E02000007,E09000002,E12000007,0.1522,51.5575,2180
