areacd,category,value
E01013670,Gross value added,7.929
E01013671,Gross value added,8.175
E01013672,Gross value added,24.467
E01013673,Gross value added,6.326
E01013674,Gross value added,7.446
E01013675,Gross value added,2.95
E01013676,Gross value added,8.477
E01013677,Gross value added,3.107
E01013678,Gross value added,9.479
E01013679,Gross value added,1.891
E01013680,Gross value added,94.92
E01013681,Gross value added,39.683
E01013682,Gross value added,8.743
E01013683,Gross value added,9
E01013684,Gross value added,20.642
E01013685,Gross value added,18.714
E01013686,Gross value added,5.374
E01013687,Gross value added,143.324
E01013688,Gross value added,45.168
E01013689,Gross value added,61.137
E01013690,Gross value added,26.479
E01013691,Gross value added,1.535
E01013692,Gross value added,6.944
E01013693,Gross value added,4.864
E01013694,Gross value added,6.117
E01013695,Gross value added,17.985
E01013696,Gross value added,29.351
E01013697,Gross value added,70.086
E01013698,Gross value added,10.532
E01013699,Gross value added,18.909
E01013700,Gross value added,7.324
E01013702,Gross value added,9.784
E01013703,Gross value added,10.316
E01013704,Gross value added,17.311
E01013705,Gross value added,21.072
E01013706,Gross value added,11.428
E01013707,Gross value added,16.915
E01013709,Gross value added,8.065
E01013710,Gross value added,10.146
E01013711,Gross value added,19.487
E01013712,Gross value added,8.685
E01013713,Gross value added,31.782
E01013714,Gross value added,8.18
E01013715,Gross value added,3.119
E01013716,Gross value added,51.917
E01013717,Gross value added,14.088
E01013718,Gross value added,7.748
E01013719,Gross value added,10.757
E01013720,Gross value added,138.335
E01013721,Gross value added,15.516
E01013722,Gross value added,4.084
E01013723,Gross value added,8.161
E01013725,Gross value added,4.292
E01013726,Gross value added,18.416
E01013727,Gross value added,3.582
E01013728,Gross value added,4.292
E01013729,Gross value added,185.521
E01013730,Gross value added,8.925
E01013731,Gross value added,77.571
E01013732,Gross value added,36.481
E01013733,Gross value added,338.405
E01013734,Gross value added,27.029
E01013735,Gross value added,5.636
E01013736,Gross value added,53.824
E01013737,Gross value added,9.145
E01013738,Gross value added,45.204
E01013739,Gross value added,14.573
E01013740,Gross value added,5.136
E01013741,Gross value added,11.62
E01013742,Gross value added,2.272
E01013743,Gross value added,5.666
E01013744,Gross value added,3.336
E01013745,Gross value added,13.736
E01013746,Gross value added,81.293
E01013747,Gross value added,69.88
E01013748,Gross value added,8.804
E01013749,Gross value added,23.834
E01013750,Gross value added,5.968
E01013751,Gross value added,9.617
E01013752,Gross value added,7.765
E01013753,Gross value added,6.726
