areacd,category,value
E01004766,Gross value added,23.779
E01004767,Gross value added,29.934
E01004768,Gross value added,17.975
E01004769,Gross value added,5.25
E01004770,Gross value added,11.01
E01004771,Gross value added,10.933
E01004772,Gross value added,4.53
E01004773,Gross value added,4.4
E01004774,Gross value added,4.169
E01004775,Gross value added,751.351
E01004776,Gross value added,215.409
E01004777,Gross value added,14.01
E01004778,Gross value added,8.749
E01004779,Gross value added,8.005
E01004780,Gross value added,57.277
E01004781,Gross value added,437.636
E01004782,Gross value added,5.569
E01004783,Gross value added,22.822
E01004784,Gross value added,4.922
E01004785,Gross value added,18.946
E01004786,Gross value added,9.86
E01004787,Gross value added,8.908
E01004788,Gross value added,6.793
E01004789,Gross value added,10.687
E01004790,Gross value added,18.158
E01004791,Gross value added,18.139
E01004792,Gross value added,6.813
E01004793,Gross value added,2.502
E01004794,Gross value added,4.361
E01004795,Gross value added,102.643
E01004796,Gross value added,13.455
E01004797,Gross value added,5.803
E01004798,Gross value added,13.34
E01004799,Gross value added,6.283
E01004800,Gross value added,5.375
E01004801,Gross value added,1.063
E01004802,Gross value added,2.342
E01004803,Gross value added,19.657
E01004804,Gross value added,9.047
E01004805,Gross value added,9.337
E01004806,Gross value added,28.746
E01004807,Gross value added,4.405
E01004808,Gross value added,13.086
E01004809,Gross value added,9.058
E01004810,Gross value added,17.615
E01004811,Gross value added,60.667
E01004812,Gross value added,83.962
E01004813,Gross value added,8.667
E01004814,Gross value added,15.678
E01004815,Gross value added,6.616
E01004816,Gross value added,5.288
E01004817,Gross value added,234.295
E01004818,Gross value added,7.715
E01004819,Gross value added,3.421
E01004820,Gross value added,4.339
E01004822,Gross value added,39.104
E01004823,Gross value added,41.163
E01004824,Gross value added,140.558
E01004825,Gross value added,19.724
E01004826,Gross value added,5.197
E01004827,Gross value added,3.444
E01004828,Gross value added,21.034
E01004829,Gross value added,22.088
E01004830,Gross value added,11.411
E01004831,Gross value added,5.753
E01004832,Gross value added,8.796
E01004833,Gross value added,288.563
