areacd,category,value
E01015589,Gross value added,16.276
E01015590,Gross value added,18.915
E01015591,Gross value added,4.297
E01015592,Gross value added,10.096
E01015593,Gross value added,45.37
E01015594,Gross value added,58.761
E01015595,Gross value added,8.465
E01015596,Gross value added,23.637
E01015597,Gross value added,3.535
E01015598,Gross value added,158.606
E01015599,Gross value added,604.982
E01015600,Gross value added,8.571
E01015601,Gross value added,15.69
E01015602,Gross value added,122.012
E01015603,Gross value added,41.891
E01015604,Gross value added,7.652
E01015605,Gross value added,12.761
E01015606,Gross value added,14.468
E01015607,Gross value added,12.039
E01015608,Gross value added,6.984
E01015609,Gross value added,9.567
E01015610,Gross value added,3.99
E01015611,Gross value added,138.673
E01015612,Gross value added,13.107
E01015613,Gross value added,10.876
E01015614,Gross value added,111.655
E01015615,Gross value added,17.143
E01015616,Gross value added,1141.266
E01015617,Gross value added,21.599
E01015618,Gross value added,11.357
E01015619,Gross value added,19.873
E01015620,Gross value added,12.086
E01015621,Gross value added,118.479
E01015622,Gross value added,26.551
E01015623,Gross value added,7.293
E01015624,Gross value added,4.023
E01015626,Gross value added,7.927
E01015627,Gross value added,23.635
E01015628,Gross value added,32.246
E01015629,Gross value added,50.776
E01015630,Gross value added,26.137
E01015631,Gross value added,8.285
E01015632,Gross value added,18.778
E01015633,Gross value added,5.458
E01015634,Gross value added,6.286
E01015635,Gross value added,10.579
E01015636,Gross value added,18.74
E01015637,Gross value added,6.662
E01015638,Gross value added,38.26
E01015639,Gross value added,15.778
E01015640,Gross value added,3.222
E01015641,Gross value added,3.949
E01015642,Gross value added,14.919
E01015643,Gross value added,2.827
E01015644,Gross value added,590.121
E01015645,Gross value added,32.417
E01015646,Gross value added,13.151
E01015647,Gross value added,176.538
E01015648,Gross value added,226.414
E01015650,Gross value added,108.216
E01015651,Gross value added,11.682
E01015652,Gross value added,19.553
E01015653,Gross value added,48.005
E01015654,Gross value added,37.165
E01015655,Gross value added,26.778
E01015656,Gross value added,6.002
E01015657,Gross value added,49.784
E01015658,Gross value added,9.838
E01015659,Gross value added,5.512
E01015660,Gross value added,6.877
E01015661,Gross value added,106.253
E01015662,Gross value added,3.244
E01015663,Gross value added,31.862
E01015664,Gross value added,6.43
E01015665,Gross value added,24.51
E01015666,Gross value added,8.815
E01015667,Gross value added,36.015
E01015668,Gross value added,53.011
E01015669,Gross value added,13.499
E01015670,Gross value added,6.595
E01015671,Gross value added,156.204
E01015672,Gross value added,8.733
E01015673,Gross value added,6.425
E01015674,Gross value added,5.658
E01015675,Gross value added,6.639
E01015676,Gross value added,70.006
E01015677,Gross value added,26.548
E01015678,Gross value added,15.931
E01015679,Gross value added,12.57
E01015680,Gross value added,31.117
E01015681,Gross value added,5.904
E01015682,Gross value added,5.529
E01015683,Gross value added,11.661
E01015684,Gross value added,9.919
E01015685,Gross value added,6.257
E01015686,Gross value added,118.358
E01015687,Gross value added,24.867
E01015688,Gross value added,70.086
E01015689,Gross value added,288.824
E01015690,Gross value added,11.77
E01015691,Gross value added,158.606
E01015692,Gross value added,9.522
E01015693,Gross value added,24.78
E01015694,Gross value added,23.809
E01015695,Gross value added,6.604
E01015696,Gross value added,4.894
E01015697,Gross value added,14.38
E01015698,Gross value added,23.665
E01015699,Gross value added,28.239
E01015700,Gross value added,18.534
E01015701,Gross value added,32.96
E01015702,Gross value added,8.08
E01015703,Gross value added,7.709
E01015704,Gross value added,3.143
E01015705,Gross value added,8.46
E01015706,Gross value added,28.828
E01015707,Gross value added,14.249
E01015708,Gross value added,8.433
E01015709,Gross value added,8.768
E01015710,Gross value added,30.419
E01015711,Gross value added,7.174
E01015712,Gross value added,14.821
E01015713,Gross value added,167.791
E01015714,Gross value added,167.791
E01015715,Gross value added,3.489
E01015716,Gross value added,61.501
E01015717,Gross value added,9.996
E01015718,Gross value added,15.197
E01015719,Gross value added,74.492
E01015720,Gross value added,9.714
E01015721,Gross value added,5.412
E01015722,Gross value added,4.597
E01015723,Gross value added,5.43
E01015724,Gross value added,60.653
E01015725,Gross value added,12.136
E01015726,Gross value added,17.241
E01015727,Gross value added,7.836
E01015728,Gross value added,107.152
E01015729,Gross value added,24.877
E01015730,Gross value added,9.869
E01015731,Gross value added,95.845
E01015732,Gross value added,6.565
E01015733,Gross value added,4.681
E01015734,Gross value added,5.652
E01015735,Gross value added,7.261
E01015736,Gross value added,18.975
E01015737,Gross value added,6.71
E01015738,Gross value added,8.396
E01015739,Gross value added,11.002
E01015740,Gross value added,6.898
E01015741,Gross value added,18.526
E01015742,Gross value added,4.422
E01015743,Gross value added,22.444
E01015744,Gross value added,11.778
E01015745,Gross value added,24.227
E01015746,Gross value added,29.356
E01015747,Gross value added,7.778
E01015748,Gross value added,13.329
E01015749,Gross value added,5.683
E01015750,Gross value added,16.47
E01015751,Gross value added,20.109
E01015752,Gross value added,4.798
E01015753,Gross value added,100.406
E01015754,Gross value added,5.323
E01015755,Gross value added,11.168
E01015756,Gross value added,6.168
E01015757,Gross value added,4.302
E01015758,Gross value added,4.963
E01015759,Gross value added,10.127
E01015760,Gross value added,15.55
E01015761,Gross value added,12.322
E01015762,Gross value added,9.223
E01015763,Gross value added,24.931
E01015764,Gross value added,9.16
E01015765,Gross value added,15.171
E01015766,Gross value added,4.106
E01015767,Gross value added,5.001
E01015768,Gross value added,8.055
E01015769,Gross value added,4.797
E01015770,Gross value added,8.63
E01015771,Gross value added,44.536
E01015772,Gross value added,4.372
E01015773,Gross value added,7.249
E01015774,Gross value added,3.1
E01015775,Gross value added,9.888
E01015776,Gross value added,13.229
E01015777,Gross value added,12.325
E01015778,Gross value added,5.497
E01015779,Gross value added,4.492
E01015780,Gross value added,6.673
E01015781,Gross value added,5.15
E01015782,Gross value added,6.872
E01015783,Gross value added,3.994
E01015784,Gross value added,7.806
E01015785,Gross value added,21.824
E01015786,Gross value added,9.43
E01015787,Gross value added,42.319
E01015788,Gross value added,9.457
E01015789,Gross value added,298.006
E01015790,Gross value added,893.792
E01015791,Gross value added,75.298
E01015792,Gross value added,11.28
E01015793,Gross value added,339.087
E01015794,Gross value added,462.443
E01015795,Gross value added,20.833
E01015796,Gross value added,57.805
E01015797,Gross value added,84.75
E01015798,Gross value added,5.569
E01015799,Gross value added,10.956
E01015800,Gross value added,4.34
E01015801,Gross value added,15.9
E01015802,Gross value added,4.327
E01015803,Gross value added,13.234
E01015804,Gross value added,159.797
E01015805,Gross value added,8.112
E01015806,Gross value added,8.036
E01015807,Gross value added,10.651
E01015808,Gross value added,240.174
E01015809,Gross value added,5.882
E01015810,Gross value added,5.868
E01015811,Gross value added,708.905
E01015812,Gross value added,3.998
E01015813,Gross value added,8.432
E01015814,Gross value added,11.047
E01015815,Gross value added,14.396
E01015816,Gross value added,9.155
E01015817,Gross value added,13.163
E01015818,Gross value added,9.182
E01015819,Gross value added,10.337
E01015820,Gross value added,32.224
E01015821,Gross value added,14.041
E01015822,Gross value added,7.855
E01015823,Gross value added,11.214
E01015824,Gross value added,12.579
E01015825,Gross value added,13.301
E01015826,Gross value added,9.089
E01015827,Gross value added,18.577
E01015828,Gross value added,7.292
E01015829,Gross value added,23.291
E01015830,Gross value added,19.369
E01015831,Gross value added,11.191
E01015832,Gross value added,44.531
E01015833,Gross value added,9.407
E01015834,Gross value added,29.615
E01015835,Gross value added,44.814
E01015836,Gross value added,8.326
E01015837,Gross value added,50.614
E01015838,Gross value added,6.984
E01015839,Gross value added,21.079
E01015840,Gross value added,7.524
E01015841,Gross value added,14.457
E01015842,Gross value added,17.603
E01015843,Gross value added,8.279
E01015844,Gross value added,21.37
E01015845,Gross value added,18.499
E01015846,Gross value added,17.614
E01015847,Gross value added,26.148
E01015848,Gross value added,25.859
E01015849,Gross value added,26.225
E01015850,Gross value added,22.995
E01015851,Gross value added,31.259
E01015852,Gross value added,379.221
E01015853,Gross value added,19.779
E01015854,Gross value added,27.096
E01015855,Gross value added,19.508
E01015856,Gross value added,22.93
E01015857,Gross value added,7.385
E01015858,Gross value added,313.533
E01015859,Gross value added,16.921
E01015860,Gross value added,24.412
E01015861,Gross value added,37.351
E01015862,Gross value added,12.658
E01015863,Gross value added,47.585
E01015864,Gross value added,12.985
E01015865,Gross value added,18.476
E01015866,Gross value added,6.188
E01015867,Gross value added,6.323
E01015868,Gross value added,36.721
E01015869,Gross value added,4.853
E01015870,Gross value added,5.863
E01015871,Gross value added,50.421
E01015872,Gross value added,14.237
E01015873,Gross value added,4.379
E01015874,Gross value added,268.931
E01015875,Gross value added,9.002
E01015876,Gross value added,38.149
E01015877,Gross value added,75.529
E01015878,Gross value added,5.962
E01015879,Gross value added,5.729
E01015880,Gross value added,2.41
E01015881,Gross value added,8.841
E01015882,Gross value added,18.076
E01015883,Gross value added,14.443
E01015884,Gross value added,17.67
E01015885,Gross value added,14.052
E01015886,Gross value added,4.413
E01015887,Gross value added,14.133
E01015888,Gross value added,15.327
E01015889,Gross value added,20.442
E01015890,Gross value added,34.952
E01015891,Gross value added,12.496
E01015892,Gross value added,10.907
E01015893,Gross value added,9.782
E01015894,Gross value added,14.124
E01015895,Gross value added,318.861
E01015896,Gross value added,38.815
E01015897,Gross value added,7.815
E01015898,Gross value added,45.698
E01015899,Gross value added,16.31
E01015900,Gross value added,8.142
E01015901,Gross value added,11.704
E01015902,Gross value added,6.569
E01015903,Gross value added,5.166
E01015904,Gross value added,6.409
E01015905,Gross value added,8.685
E01015906,Gross value added,4.38
E01015907,Gross value added,4.873
E01015908,Gross value added,17.933
E01015909,Gross value added,10.15
E01015910,Gross value added,16.411
E01015911,Gross value added,10.55
E01015912,Gross value added,9.946
E01015913,Gross value added,38.688
E01015914,Gross value added,12.213
E01015915,Gross value added,7.448
E01015916,Gross value added,9.586
E01015917,Gross value added,20.286
E01015918,Gross value added,11.01
E01015919,Gross value added,14.153
E01015920,Gross value added,13.274
E01015921,Gross value added,17.939
E01015922,Gross value added,7.419
E01015923,Gross value added,10.834
E01015924,Gross value added,14.333
E01015925,Gross value added,79.147
E01015926,Gross value added,29.314
E01015927,Gross value added,6.756
E01015928,Gross value added,9.817
E01015929,Gross value added,18.758
E01015930,Gross value added,6.626
E01015931,Gross value added,7.706
E01015932,Gross value added,19.7
E01015933,Gross value added,4.966
E01015934,Gross value added,10.449
E01015935,Gross value added,19.251
E01015936,Gross value added,8.303
E01015937,Gross value added,6.951
E01015938,Gross value added,4.749
E01015939,Gross value added,7.985
E01015941,Gross value added,13.319
E01015942,Gross value added,13.72
E01015943,Gross value added,23.868
E01015944,Gross value added,8.283
E01015945,Gross value added,11.199
E01015946,Gross value added,312.443
E01015947,Gross value added,4.183
E01015948,Gross value added,42.523
E01015949,Gross value added,15.351
E01015950,Gross value added,17.734
E01015951,Gross value added,6.715
E01015952,Gross value added,7.85
E01015953,Gross value added,15.168
E01015954,Gross value added,155.773
E01015955,Gross value added,34.478
E01015956,Gross value added,115.905
E01015957,Gross value added,7.27
E01015958,Gross value added,26.348
E01015959,Gross value added,41.554
E01015960,Gross value added,36.306
E01015961,Gross value added,16.223
E01015962,Gross value added,13.287
E01015963,Gross value added,4.713
E01015964,Gross value added,8.485
E01015965,Gross value added,30.579
E01015966,Gross value added,12.012
E01015967,Gross value added,10.796
E01015968,Gross value added,31.39
E01015969,Gross value added,17.67
E01015970,Gross value added,16.429
E01015971,Gross value added,37.498
E01015972,Gross value added,17.831
E01015973,Gross value added,26.058
E01015974,Gross value added,7.266
E01015975,Gross value added,9.019
E01015976,Gross value added,12.505
E01015977,Gross value added,20.466
E01015978,Gross value added,48.086
E01015979,Gross value added,58.558
E01015980,Gross value added,26.583
E01015982,Gross value added,27.297
E01015983,Gross value added,25.696
E01015984,Gross value added,12.042
E01015985,Gross value added,5.185
E01015986,Gross value added,5.249
E01015987,Gross value added,13.969
E01015988,Gross value added,7.653
E01015989,Gross value added,33.171
E01015990,Gross value added,34.436
E01015991,Gross value added,18.805
E01015992,Gross value added,31.427
E01015993,Gross value added,18.875
E01015994,Gross value added,6.624
E01015995,Gross value added,122.122
E01015996,Gross value added,6.24
E01015997,Gross value added,6.042
E01015998,Gross value added,7.743
E01015999,Gross value added,6.824
E01016000,Gross value added,4.587
E01016001,Gross value added,6.854
E01016002,Gross value added,7.008
E01016003,Gross value added,356.011
E01016004,Gross value added,57.058
E01016005,Gross value added,4.753
E01016006,Gross value added,11.236
E01016007,Gross value added,12.035
E01016008,Gross value added,8.908
E01016009,Gross value added,9.728
E01016010,Gross value added,3.494
E01016011,Gross value added,282.481
E01016012,Gross value added,1350.649
E01016013,Gross value added,98.223
E01016014,Gross value added,9.921
E01016015,Gross value added,34.196
E01017371,Gross value added,19.594
E01017372,Gross value added,10.007
E01017373,Gross value added,117.834
E01017374,Gross value added,26.957
E01017375,Gross value added,49.085
E01017376,Gross value added,25.09
E01017377,Gross value added,20.091
E01017378,Gross value added,13.092
E01017379,Gross value added,33.594
E01017380,Gross value added,21.434
E01017381,Gross value added,20.901
E01017382,Gross value added,19.325
E01017383,Gross value added,9.923
E01017384,Gross value added,14.805
E01017385,Gross value added,75.609
E01017386,Gross value added,31.176
E01017387,Gross value added,7.533
E01017388,Gross value added,11.324
E01017389,Gross value added,121.129
E01017390,Gross value added,28.144
E01017391,Gross value added,7.893
E01017392,Gross value added,23.308
E01017393,Gross value added,48.238
E01017394,Gross value added,8.218
E01017397,Gross value added,18.636
E01017398,Gross value added,36.6
E01017399,Gross value added,6.996
E01017400,Gross value added,90.777
E01017401,Gross value added,22.172
E01017402,Gross value added,18.183
E01017403,Gross value added,10.071
E01017404,Gross value added,7.307
E01017405,Gross value added,20.416
E01017406,Gross value added,22.772
E01017407,Gross value added,12.627
E01017408,Gross value added,10.277
E01017409,Gross value added,17.858
E01017410,Gross value added,16.306
E01017411,Gross value added,61.655
E01017412,Gross value added,25.639
E01017413,Gross value added,17.842
E01017414,Gross value added,14.581
E01017415,Gross value added,16.253
E01017416,Gross value added,23.18
E01017417,Gross value added,27.131
E01017418,Gross value added,13.611
E01017419,Gross value added,61.655
E01017420,Gross value added,17.537
E01017421,Gross value added,15.313
E01017422,Gross value added,25.61
E01017423,Gross value added,242.072
E01017424,Gross value added,50.764
E01017425,Gross value added,17.938
E01017426,Gross value added,15.371
E01017427,Gross value added,35.176
E01017428,Gross value added,10.595
E01017429,Gross value added,14.969
E01017430,Gross value added,33.857
E01017431,Gross value added,51.061
E01017432,Gross value added,13.224
E01017433,Gross value added,8.893
E01017434,Gross value added,5.958
E01017435,Gross value added,56.264
E01017436,Gross value added,21.262
E01017437,Gross value added,22.08
E01017438,Gross value added,12.855
E01017439,Gross value added,21.907
E01017440,Gross value added,35.744
E01017441,Gross value added,114.113
E01017442,Gross value added,19.867
E01017443,Gross value added,37.378
E01017444,Gross value added,49.327
E01017445,Gross value added,69.1
E01017446,Gross value added,8.733
E01017447,Gross value added,17.742
E01017449,Gross value added,19.997
E01017450,Gross value added,17.689
E01017451,Gross value added,52.78
E01017452,Gross value added,20.124
E01017453,Gross value added,21.387
E01017454,Gross value added,6.746
E01017455,Gross value added,10.007
E01017456,Gross value added,25.821
E01017457,Gross value added,13.435
E01017458,Gross value added,5.488
E01017459,Gross value added,8.414
E01017460,Gross value added,24.224
E01017461,Gross value added,30.349
E01017462,Gross value added,15.593
E01017463,Gross value added,14.692
E01017464,Gross value added,13.305
E01017465,Gross value added,15.885
E01017466,Gross value added,69.06
E01017467,Gross value added,11.712
E01017468,Gross value added,10.323
E01017469,Gross value added,145.217
E01017470,Gross value added,11.021
E01017471,Gross value added,93.396
E01017472,Gross value added,16.382
E01017473,Gross value added,374.647
E01017474,Gross value added,14.229
E01017475,Gross value added,38.054
E01017476,Gross value added,47.76
E01017477,Gross value added,3.571
E01017478,Gross value added,77.078
E01017479,Gross value added,17.364
E01017480,Gross value added,30.064
E01017481,Gross value added,4.866
E01017482,Gross value added,30.155
E01017483,Gross value added,17.781
E01017484,Gross value added,65.587
E01017485,Gross value added,8.631
E01017486,Gross value added,51.401
E01017487,Gross value added,6.427
E01017488,Gross value added,19.577
E01017489,Gross value added,4.351
E01017490,Gross value added,185.367
E01017491,Gross value added,6.834
E01017492,Gross value added,6.176
E01017493,Gross value added,159.787
E01017495,Gross value added,20.057
E01017496,Gross value added,17.384
E01017497,Gross value added,9.316
E01017498,Gross value added,132.388
E01017499,Gross value added,142.839
E01017500,Gross value added,9.436
E01017501,Gross value added,32.564
E01017502,Gross value added,75.975
E01017503,Gross value added,42.479
E01017504,Gross value added,19.186
E01017505,Gross value added,25.098
E01017506,Gross value added,8.257
E01017507,Gross value added,8.786
E01017508,Gross value added,8.437
E01017509,Gross value added,17.596
E01017510,Gross value added,21.802
E01017511,Gross value added,5.108
E01017512,Gross value added,25.967
E01017513,Gross value added,4.961
E01017514,Gross value added,52.526
E01017515,Gross value added,52.526
E01017516,Gross value added,229.144
E01017517,Gross value added,52.662
E01017518,Gross value added,25.554
E01017519,Gross value added,21.277
E01017520,Gross value added,340.11
E01017521,Gross value added,13.721
E01017522,Gross value added,60.47
E01017523,Gross value added,8.276
E01017524,Gross value added,33.287
E01017525,Gross value added,24.464
E01017526,Gross value added,8.836
E01017527,Gross value added,51.066
E01017528,Gross value added,34.683
E01017529,Gross value added,9.199
E01017530,Gross value added,7.475
E01017531,Gross value added,5.763
E01017532,Gross value added,17.405
E01017533,Gross value added,24.864
E01017534,Gross value added,6.88
