areacd,category,value
E01016016,Gross value added,20.248
E01016017,Gross value added,11.695
E01016018,Gross value added,6.916
E01016019,Gross value added,10.186
E01016020,Gross value added,12.001
E01016021,Gross value added,5.188
E01016022,Gross value added,7.69
E01016023,Gross value added,6.365
E01016024,Gross value added,17.989
E01016025,Gross value added,27.201
E01016026,Gross value added,9.197
E01016027,Gross value added,8.036
E01016028,Gross value added,18.221
E01016029,Gross value added,12.518
E01016030,Gross value added,10.046
E01016031,Gross value added,15.073
E01016032,Gross value added,6.545
E01016033,Gross value added,9.11
E01016034,Gross value added,19.376
E01016035,Gross value added,21.436
E01016036,Gross value added,26.742
E01016037,Gross value added,6.616
E01016038,Gross value added,5.373
E01016039,Gross value added,5.639
E01016040,Gross value added,24.12
E01016041,Gross value added,13.582
E01016042,Gross value added,5.917
E01016043,Gross value added,16.994
E01016044,Gross value added,14.826
E01016045,Gross value added,144.549
E01016046,Gross value added,12.559
E01016047,Gross value added,9.218
E01016048,Gross value added,4.708
E01016049,Gross value added,144.549
E01016050,Gross value added,12.15
E01016051,Gross value added,14.995
E01016052,Gross value added,64.611
E01016053,Gross value added,16.637
E01016054,Gross value added,12.855
E01016055,Gross value added,5.35
E01016056,Gross value added,13.019
E01016057,Gross value added,116.541
E01016058,Gross value added,15.94
E01016059,Gross value added,6.319
E01016060,Gross value added,19.298
E01016061,Gross value added,13.708
E01016062,Gross value added,11.989
E01016063,Gross value added,6.549
E01016064,Gross value added,53.951
E01016065,Gross value added,17.735
E01016066,Gross value added,10.096
E01016067,Gross value added,12.781
E01016068,Gross value added,30.263
E01016069,Gross value added,6.076
E01016070,Gross value added,12.037
E01016071,Gross value added,366.471
E01016072,Gross value added,21.156
E01016073,Gross value added,18.029
E01016074,Gross value added,137.395
E01016075,Gross value added,7.137
E01016076,Gross value added,11.892
E01016077,Gross value added,33.303
E01016078,Gross value added,8.566
E01016079,Gross value added,8.951
E01016080,Gross value added,22.422
E01016081,Gross value added,14.623
E01016082,Gross value added,10.411
E01016083,Gross value added,27.283
E01016084,Gross value added,8.605
E01016085,Gross value added,23.031
E01016086,Gross value added,129.73
E01016087,Gross value added,15.516
E01016088,Gross value added,26.18
E01016089,Gross value added,17.377
E01016090,Gross value added,9.387
E01016091,Gross value added,13.107
E01016092,Gross value added,8.56
E01016093,Gross value added,33.735
E01016094,Gross value added,9.163
E01016095,Gross value added,8.799
E01016096,Gross value added,14.264
E01016097,Gross value added,7.859
E01016098,Gross value added,41.143
E01016099,Gross value added,7.66
E01016100,Gross value added,7.999
E01016101,Gross value added,5.94
E01016102,Gross value added,11.277
E01016103,Gross value added,29.375
E01016104,Gross value added,8.729
E01016105,Gross value added,20.06
E01016106,Gross value added,8.692
E01016107,Gross value added,8.698
E01016110,Gross value added,453.604
E01016111,Gross value added,21.141
E01016112,Gross value added,16.6
E01016113,Gross value added,15.338
E01016114,Gross value added,11.966
E01016115,Gross value added,14.593
E01016116,Gross value added,8.383
E01016117,Gross value added,11.889
E01016118,Gross value added,8.84
E01016119,Gross value added,17.447
E01016120,Gross value added,353.936
E01016121,Gross value added,48.581
E01016122,Gross value added,13.101
E01016123,Gross value added,10.967
E01016124,Gross value added,13.334
E01016125,Gross value added,24.812
E01016126,Gross value added,11.133
E01016127,Gross value added,31.077
E01016128,Gross value added,81.021
E01016129,Gross value added,5.457
E01016130,Gross value added,70.631
E01016131,Gross value added,14.722
E01016132,Gross value added,11.736
E01016133,Gross value added,12.907
E01016134,Gross value added,15.348
E01016135,Gross value added,13.455
E01016136,Gross value added,23.855
E01016137,Gross value added,6.262
E01016138,Gross value added,17.709
E01016139,Gross value added,8.426
E01016140,Gross value added,27.7
E01016141,Gross value added,42.62
E01016142,Gross value added,32.54
E01016143,Gross value added,35.521
E01016144,Gross value added,25.108
E01016145,Gross value added,11.232
E01016146,Gross value added,25.268
E01016147,Gross value added,477.044
