areacd,category,value
W01000001,Gross value added,8.928
W01000002,Gross value added,15.748
W01000003,Gross value added,21.401
W01000004,Gross value added,9.917
W01000005,Gross value added,17.164
W01000006,Gross value added,36.122
W01000007,Gross value added,11.585
W01000008,Gross value added,8.295
W01000009,Gross value added,18.403
W01000010,Gross value added,14.986
W01000011,Gross value added,30.471
W01000012,Gross value added,137.351
W01000013,Gross value added,14.689
W01000014,Gross value added,32.702
W01000015,Gross value added,16.399
W01000016,Gross value added,20.206
W01000017,Gross value added,13.045
W01000018,Gross value added,49.4
W01000019,Gross value added,16.027
W01000020,Gross value added,11.308
W01000021,Gross value added,10.408
W01000022,Gross value added,14.473
W01000023,Gross value added,21.892
W01000024,Gross value added,68.911
W01000025,Gross value added,52.95
W01000026,Gross value added,7.684
W01000027,Gross value added,22.189
W01000028,Gross value added,11.718
W01000029,Gross value added,27.259
W01000030,Gross value added,4.38
W01000031,Gross value added,9.206
W01000032,Gross value added,8.879
W01000033,Gross value added,111.69
W01000034,Gross value added,11.74
W01000035,Gross value added,9.831
W01000036,Gross value added,26.922
W01000037,Gross value added,22.565
W01000038,Gross value added,10.745
W01000039,Gross value added,11.044
W01000040,Gross value added,25.671
W01000041,Gross value added,18.134
W01000042,Gross value added,13.543
W01000043,Gross value added,15.926
W01000044,Gross value added,6.334
W01000047,Gross value added,37.03
W01000048,Gross value added,11.612
W01000049,Gross value added,11.289
W01000050,Gross value added,145.128
W01000051,Gross value added,32.992
W01000052,Gross value added,6.26
W01000053,Gross value added,9.878
W01000054,Gross value added,7.053
W01000056,Gross value added,55.687
W01000057,Gross value added,15.173
W01000059,Gross value added,22.358
W01000060,Gross value added,9.538
W01000061,Gross value added,14.712
W01000062,Gross value added,82.134
W01000063,Gross value added,57.229
W01000064,Gross value added,175.086
W01000065,Gross value added,10.397
W01000066,Gross value added,10.242
W01000067,Gross value added,66.473
W01000068,Gross value added,15.936
W01000069,Gross value added,15.437
W01000070,Gross value added,9.505
W01000071,Gross value added,9.487
W01000072,Gross value added,32.059
W01000073,Gross value added,20.021
W01000074,Gross value added,13.363
W01000075,Gross value added,14.359
W01000076,Gross value added,55.418
W01000077,Gross value added,8.862
W01000078,Gross value added,11.303
W01000079,Gross value added,9.042
W01000080,Gross value added,25.618
W01000081,Gross value added,58.134
W01000082,Gross value added,15.389
W01000083,Gross value added,16.618
W01000084,Gross value added,13.035
W01000085,Gross value added,13.99
W01000086,Gross value added,11.285
W01000087,Gross value added,12.167
W01000088,Gross value added,30.277
W01000089,Gross value added,26.153
W01000090,Gross value added,2.808
W01000091,Gross value added,3.63
W01000092,Gross value added,55.418
W01000093,Gross value added,63.111
W01000094,Gross value added,12.61
W01000095,Gross value added,13.805
W01000096,Gross value added,5.955
W01000097,Gross value added,10.064
W01000098,Gross value added,53.426
W01000099,Gross value added,9.333
W01000100,Gross value added,13.777
W01000101,Gross value added,37.914
W01000102,Gross value added,175.086
