areacd,category,value
E01014370,Gross value added,373.337
E01014371,Gross value added,196.001
E01014372,Gross value added,117.256
E01014373,Gross value added,14.96
E01014374,Gross value added,11.477
E01014375,Gross value added,23.186
E01014376,Gross value added,32.721
E01014377,Gross value added,13.286
E01014379,Gross value added,72.54
E01014380,Gross value added,146.843
E01014381,Gross value added,21.648
E01014382,Gross value added,45.906
E01014383,Gross value added,16.551
E01014384,Gross value added,16.379
E01014385,Gross value added,34.383
E01014386,Gross value added,11.377
E01014387,Gross value added,10.717
E01014388,Gross value added,207.649
E01014389,Gross value added,13.927
E01014390,Gross value added,4.077
E01014391,Gross value added,23.493
E01014392,Gross value added,77.64
E01014393,Gross value added,15.925
E01014394,Gross value added,21.684
E01014395,Gross value added,10.214
E01014396,Gross value added,40.791
E01014397,Gross value added,9.563
E01014398,Gross value added,45.069
E01014399,Gross value added,38.823
E01014400,Gross value added,46.727
E01014401,Gross value added,7.388
E01014402,Gross value added,8.901
E01014403,Gross value added,87.004
E01014404,Gross value added,8.881
E01014405,Gross value added,54.79
E01014407,Gross value added,116.504
E01014409,Gross value added,12.156
E01014410,Gross value added,11.458
E01014411,Gross value added,21.698
E01014412,Gross value added,16.858
E01014413,Gross value added,52.732
E01014414,Gross value added,8.214
E01014415,Gross value added,19.616
E01014416,Gross value added,72.063
E01014417,Gross value added,20.998
E01014418,Gross value added,19.817
E01014419,Gross value added,14.983
E01014420,Gross value added,22.905
E01014421,Gross value added,7.058
E01014422,Gross value added,6.792
E01014423,Gross value added,34.21
E01014424,Gross value added,20.017
E01014425,Gross value added,14.704
E01014426,Gross value added,9.35
E01014427,Gross value added,25.848
E01014428,Gross value added,338.611
E01014429,Gross value added,44.017
E01014430,Gross value added,24.405
E01014431,Gross value added,7.276
E01014432,Gross value added,10.264
E01014433,Gross value added,12.234
E01014434,Gross value added,51.167
E01014435,Gross value added,12.258
E01014436,Gross value added,12.427
E01014437,Gross value added,6.73
E01014438,Gross value added,6.311
E01014439,Gross value added,41.174
E01014440,Gross value added,13.063
E01014441,Gross value added,7.397
E01014442,Gross value added,24.339
E01014443,Gross value added,14.105
E01014444,Gross value added,14.105
E01014445,Gross value added,11.759
E01014446,Gross value added,15.029
E01014447,Gross value added,18.749
E01014448,Gross value added,12.781
E01014449,Gross value added,41.854
E01014450,Gross value added,18.978
E01014451,Gross value added,15.816
E01014452,Gross value added,77.64
E01014453,Gross value added,16.604
E01014454,Gross value added,25.399
