areacd,category,value
E01008162,Gross value added,5.775
E01008163,Gross value added,16.693
E01008164,Gross value added,2.418
E01008165,Gross value added,4.757
E01008166,Gross value added,291.828
E01008167,Gross value added,8.715
E01008168,Gross value added,167.118
E01008169,Gross value added,18.791
E01008170,Gross value added,8.356
E01008171,Gross value added,9.246
E01008172,Gross value added,8.788
E01008173,Gross value added,24.606
E01008174,Gross value added,83.243
E01008175,Gross value added,38.584
E01008176,Gross value added,57.203
E01008177,Gross value added,47.142
E01008178,Gross value added,3.352
E01008179,Gross value added,7.11
E01008180,Gross value added,3.223
E01008181,Gross value added,142.225
E01008182,Gross value added,3.526
E01008183,Gross value added,10.981
E01008184,Gross value added,12.549
E01008185,Gross value added,3.172
E01008186,Gross value added,7.856
E01008187,Gross value added,3.228
E01008188,Gross value added,7.306
E01008189,Gross value added,3.431
E01008190,Gross value added,8.736
E01008191,Gross value added,2.37
E01008192,Gross value added,5.901
E01008193,Gross value added,6.219
E01008194,Gross value added,5.433
E01008195,Gross value added,5.799
E01008196,Gross value added,11.167
E01008197,Gross value added,5.613
E01008198,Gross value added,5.356
E01008199,Gross value added,11.591
E01008200,Gross value added,7.579
E01008201,Gross value added,4.343
E01008202,Gross value added,5.432
E01008203,Gross value added,8.416
E01008204,Gross value added,2.583
E01008205,Gross value added,10.051
E01008206,Gross value added,3.694
E01008207,Gross value added,4.715
E01008208,Gross value added,41.883
E01008209,Gross value added,160.071
E01008210,Gross value added,12.6
E01008211,Gross value added,4.983
E01008212,Gross value added,8.65
E01008213,Gross value added,5.258
E01008214,Gross value added,69.955
E01008215,Gross value added,96.577
E01008216,Gross value added,10.913
E01008217,Gross value added,7.447
E01008218,Gross value added,10.771
E01008219,Gross value added,90.519
E01008220,Gross value added,3.244
E01008221,Gross value added,5.893
E01008222,Gross value added,2.415
E01008223,Gross value added,31.468
E01008224,Gross value added,8.846
E01008225,Gross value added,10.028
E01008226,Gross value added,201.135
E01008227,Gross value added,5.893
E01008228,Gross value added,2.742
E01008229,Gross value added,4.107
E01008230,Gross value added,6.477
E01008231,Gross value added,1.977
E01008232,Gross value added,2.495
E01008233,Gross value added,4.107
E01008234,Gross value added,16.569
E01008235,Gross value added,9.016
E01008236,Gross value added,5.003
E01008237,Gross value added,90.519
E01008238,Gross value added,13.627
E01008239,Gross value added,24.251
E01008240,Gross value added,7.953
E01008241,Gross value added,21.368
E01008242,Gross value added,7.242
E01008243,Gross value added,11.04
E01008244,Gross value added,69.955
E01008245,Gross value added,16.105
E01008246,Gross value added,5.388
E01008247,Gross value added,5.086
E01008248,Gross value added,23.215
E01008249,Gross value added,16.666
E01008250,Gross value added,6.516
E01008251,Gross value added,4.27
E01008252,Gross value added,6.659
E01008253,Gross value added,3.219
E01008254,Gross value added,5.748
E01008255,Gross value added,7.845
E01008256,Gross value added,14.108
E01008257,Gross value added,14.927
E01008258,Gross value added,43.954
E01008259,Gross value added,1149.336
E01008260,Gross value added,43.92
E01008261,Gross value added,3.462
E01008262,Gross value added,307.691
E01008263,Gross value added,15.349
E01008264,Gross value added,19.711
E01008265,Gross value added,5.116
E01008266,Gross value added,5.484
E01008267,Gross value added,19.476
E01008268,Gross value added,7.49
E01008269,Gross value added,7.272
E01008270,Gross value added,5.108
E01008271,Gross value added,8.111
E01008272,Gross value added,11.714
E01008273,Gross value added,13.804
E01008274,Gross value added,2.831
E01008275,Gross value added,18.16
E01008276,Gross value added,7.11
E01008277,Gross value added,7.935
