areacd,category,value
E01007317,Gross value added,11.101
E01007318,Gross value added,13.424
E01007319,Gross value added,34.37
E01007320,Gross value added,4.139
E01007321,Gross value added,4.579
E01007322,Gross value added,80.829
E01007323,Gross value added,2.764
E01007324,Gross value added,10.679
E01007325,Gross value added,1.476
E01007326,Gross value added,3.265
E01007327,Gross value added,63.925
E01007328,Gross value added,8.488
E01007329,Gross value added,6.868
E01007330,Gross value added,6.419
E01007331,Gross value added,20.713
E01007332,Gross value added,110.164
E01007333,Gross value added,4.743
E01007334,Gross value added,60.474
E01007335,Gross value added,5.709
E01007336,Gross value added,458.387
E01007337,Gross value added,29.363
E01007338,Gross value added,12.938
E01007339,Gross value added,5.449
E01007340,Gross value added,286.059
E01007341,Gross value added,48.432
E01007342,Gross value added,4.738
E01007343,Gross value added,10.467
E01007344,Gross value added,8.736
E01007345,Gross value added,48.432
E01007346,Gross value added,4.968
E01007347,Gross value added,10.063
E01007348,Gross value added,2.454
E01007349,Gross value added,5.232
E01007350,Gross value added,7.883
E01007351,Gross value added,18.704
E01007352,Gross value added,3.531
E01007353,Gross value added,5.363
E01007354,Gross value added,7.32
E01007355,Gross value added,4.621
E01007356,Gross value added,13.939
E01007357,Gross value added,8.202
E01007358,Gross value added,12.346
E01007359,Gross value added,52.963
E01007360,Gross value added,10.448
E01007361,Gross value added,18.863
E01007362,Gross value added,7.038
E01007363,Gross value added,3.291
E01007364,Gross value added,37.853
E01007365,Gross value added,37.853
E01007366,Gross value added,4.795
E01007367,Gross value added,1.539
E01007368,Gross value added,5.325
E01007369,Gross value added,5.523
E01007370,Gross value added,9.522
E01007371,Gross value added,44.278
E01007372,Gross value added,4.737
E01007373,Gross value added,28.353
E01007374,Gross value added,3.903
E01007375,Gross value added,6.467
E01007376,Gross value added,66.553
E01007377,Gross value added,3.581
E01007378,Gross value added,19.12
E01007379,Gross value added,5.952
E01007380,Gross value added,142.516
E01007381,Gross value added,124.294
E01007382,Gross value added,137.182
E01007383,Gross value added,7.055
E01007384,Gross value added,66.884
E01007385,Gross value added,11.429
E01007386,Gross value added,19.59
E01007387,Gross value added,28.298
E01007388,Gross value added,11.075
E01007389,Gross value added,7.529
E01007390,Gross value added,6.615
E01007391,Gross value added,17.587
E01007392,Gross value added,10.96
