areacd,category,value
E06000001,Gross value added,1494.9189999999996
E06000002,Gross value added,2908.7879999999996
E06000003,Gross value added,1813.6250000000007
E06000004,Gross value added,5059.804
E06000005,Gross value added,2586.1970000000006
E06000006,Gross value added,4191.706999999998
E06000007,Gross value added,7776.299999999998
E06000008,Gross value added,3234.6470000000013
E06000009,Gross value added,2790.2220000000007
E06000010,Gross value added,6064.431000000002
E06000011,Gross value added,7046.579999999998
E06000012,Gross value added,3208.1010000000006
E06000013,Gross value added,4263.546
E06000014,Gross value added,6112.409999999996
E06000015,Gross value added,7203.105000000002
E06000016,Gross value added,9142.807
E06000017,Gross value added,757.6
E06000018,Gross value added,10565.186000000002
E06000019,Gross value added,3856.9209999999994
E06000020,Gross value added,4665.200999999998
E06000021,Gross value added,6170.205999999999
E06000022,Gross value added,4207.326999999999
E06000023,Gross value added,15946.671000000004
E06000024,Gross value added,4415.242
E06000025,Gross value added,12232.919999999996
E06000026,Gross value added,5503.773000000001
E06000027,Gross value added,1930.575
E06000028,Gross value added,4875.603000000002
E06000029,Gross value added,4535.558000000001
E06000030,Gross value added,9274.699999999997
E06000031,Gross value added,6541.704000000002
E06000032,Gross value added,5369.118999999998
E06000033,Gross value added,3079.774999999999
E06000034,Gross value added,4330.232
E06000035,Gross value added,5903.848999999998
E06000036,Gross value added,4825.999
E06000037,Gross value added,8373.254
E06000038,Gross value added,7732.977999999998
E06000039,Gross value added,9010.720999999996
E06000040,Gross value added,7094.886000000001
E06000041,Gross value added,8804.690999999995
E06000042,Gross value added,14027.050999999996
E06000043,Gross value added,8799.742999999999
E06000044,Gross value added,6116.342999999998
E06000045,Gross value added,7209.3640000000005
E06000046,Gross value added,2634.6359999999995
E06000047,Gross value added,8791.748999999998
E06000049,Gross value added,14685.45499999999
E06000050,Gross value added,10564.138000000003
E06000051,Gross value added,6100.818000000004
E06000052,Gross value added,10604.328
E06000053,Gross value added,56.497
E06000054,Gross value added,11357.251000000006
E06000055,Gross value added,4220.273999999999
E06000056,Gross value added,5688.141999999998
E06000057,Gross value added,5236.974000000001
E07000004,Gross value added,4620.823
E07000005,Gross value added,2876.2489999999993
E07000006,Gross value added,2392.9539999999997
E07000007,Gross value added,5623.096999999997
E07000008,Gross value added,6429.372000000001
E07000009,Gross value added,2014.5719999999997
E07000010,Gross value added,1807.6799999999998
E07000011,Gross value added,4591.26
E07000012,Gross value added,5338.812000000002
E07000026,Gross value added,1724.6119999999994
E07000027,Gross value added,1815.1579999999997
E07000028,Gross value added,2876.822999999999
E07000029,Gross value added,1408.2859999999998
E07000030,Gross value added,1365.5700000000002
E07000031,Gross value added,2524.6130000000003
E07000032,Gross value added,2864.7759999999985
E07000033,Gross value added,1901.4899999999998
E07000034,Gross value added,2525.858
E07000035,Gross value added,1563.5900000000001
E07000036,Gross value added,1836.1739999999993
E07000037,Gross value added,1480.333
E07000038,Gross value added,1491.2389999999998
E07000039,Gross value added,3083.3709999999996
E07000040,Gross value added,2787.108000000001
E07000041,Gross value added,5398.514999999999
E07000042,Gross value added,1296.998
E07000043,Gross value added,2189.374
E07000044,Gross value added,1950.9399999999998
E07000045,Gross value added,2188.183
E07000046,Gross value added,921.801
E07000047,Gross value added,770.5859999999999
E07000048,Gross value added,1063.127
E07000049,Gross value added,1984.4009999999996
E07000050,Gross value added,1222.06
E07000051,Gross value added,1178.971
E07000052,Gross value added,2539.447
E07000053,Gross value added,796.921
E07000061,Gross value added,1946.433
E07000062,Gross value added,1577.9390000000005
E07000063,Gross value added,1956.81
E07000064,Gross value added,1343.207
E07000065,Gross value added,2525.4039999999995
E07000066,Gross value added,5744.912999999995
E07000067,Gross value added,3262.6040000000003
E07000068,Gross value added,3109.2580000000007
E07000069,Gross value added,1027.708
E07000070,Gross value added,5325.306000000001
E07000071,Gross value added,4229.565999999999
E07000072,Gross value added,3789.6559999999995
E07000073,Gross value added,2126.766999999999
E07000074,Gross value added,1117.1639999999998
E07000075,Gross value added,1343.5910000000001
E07000076,Gross value added,1920.0600000000002
E07000077,Gross value added,2092.2769999999996
E07000078,Gross value added,3477.629000000001
E07000079,Gross value added,3637.4839999999995
E07000080,Gross value added,2204.6630000000005
E07000081,Gross value added,3403.454000000002
E07000082,Gross value added,2707.439999999999
E07000083,Gross value added,2892.104
E07000084,Gross value added,6734.656000000003
E07000085,Gross value added,2582.603999999999
E07000086,Gross value added,4166.404
E07000087,Gross value added,2965.3550000000005
E07000088,Gross value added,1006.5250000000003
E07000089,Gross value added,2905.0699999999997
E07000090,Gross value added,2498.0780000000013
E07000091,Gross value added,4413.624
E07000092,Gross value added,6173.902000000001
E07000093,Gross value added,3338.504
E07000094,Gross value added,5077.604
E07000095,Gross value added,2127.996
E07000096,Gross value added,5399.231000000001
E07000098,Gross value added,3952.341
E07000099,Gross value added,3885.3999999999996
E07000102,Gross value added,4434.816999999998
E07000103,Gross value added,4087.894
E07000105,Gross value added,3112.1600000000008
E07000106,Gross value added,3319.4050000000007
E07000107,Gross value added,3690.820000000001
E07000108,Gross value added,2555.4529999999995
E07000109,Gross value added,1824.706
