areacd,category,value
E01008881,Gross value added,17.659
E01008882,Gross value added,3.418
E01008883,Gross value added,84.799
E01008884,Gross value added,188.618
E01008885,Gross value added,4.812
E01008886,Gross value added,30.053
E01008887,Gross value added,33.942
E01008888,Gross value added,5.733
E01008889,Gross value added,126.745
E01008890,Gross value added,8.26
E01008891,Gross value added,10.921
E01008892,Gross value added,1.823
E01008893,Gross value added,8.333
E01008894,Gross value added,26.225
E01008895,Gross value added,7.515
E01008896,Gross value added,3.051
E01008897,Gross value added,3.414
E01008898,Gross value added,2.819
E01008899,Gross value added,156.523
E01008901,Gross value added,194.041
E01008905,Gross value added,10.188
E01008906,Gross value added,6.562
E01008907,Gross value added,4.273
E01008909,Gross value added,34.4
E01008910,Gross value added,571.436
E01008911,Gross value added,6.562
E01008913,Gross value added,61.045
E01008914,Gross value added,127.748
E01008915,Gross value added,90.189
E01008916,Gross value added,8.535
E01008917,Gross value added,34.219
E01008918,Gross value added,5.513
E01008919,Gross value added,20.005
E01008920,Gross value added,75.053
E01008921,Gross value added,21.962
E01008923,Gross value added,8.851
E01008924,Gross value added,24.69
E01008925,Gross value added,3.09
E01008927,Gross value added,4.651
E01008928,Gross value added,3.77
E01008929,Gross value added,9.663
E01008930,Gross value added,20.466
E01008931,Gross value added,2.381
E01008932,Gross value added,17.284
E01008933,Gross value added,7.534
E01008934,Gross value added,8.228
E01008935,Gross value added,21.349
E01008936,Gross value added,7.855
E01008937,Gross value added,5.954
E01008938,Gross value added,3.078
E01008939,Gross value added,8.895
E01008940,Gross value added,12.129
E01008941,Gross value added,3.088
E01008942,Gross value added,5.571
E01008943,Gross value added,14.66
E01008944,Gross value added,4.691
E01008945,Gross value added,21.792
E01008946,Gross value added,4.209
E01008947,Gross value added,10.092
E01008948,Gross value added,21.33
E01008949,Gross value added,8.802
E01008950,Gross value added,49.912
E01008951,Gross value added,7.361
E01008952,Gross value added,25.213
E01008953,Gross value added,85.047
E01008954,Gross value added,49.912
E01008955,Gross value added,29.054
E01008956,Gross value added,18.616
E01008957,Gross value added,15.062
E01008958,Gross value added,49.912
E01008959,Gross value added,4.548
E01008960,Gross value added,7.69
E01008961,Gross value added,328.666
E01008962,Gross value added,5.365
E01008963,Gross value added,16.517
E01008964,Gross value added,5.767
E01008965,Gross value added,10.515
E01008966,Gross value added,6.868
E01008967,Gross value added,16.403
E01008968,Gross value added,12.195
E01008969,Gross value added,5.502
E01008970,Gross value added,6.979
E01008971,Gross value added,14.168
E01008972,Gross value added,14.195
E01008973,Gross value added,4.148
E01008974,Gross value added,7.272
E01008975,Gross value added,10.688
E01008976,Gross value added,5.869
E01008977,Gross value added,25.982
E01008978,Gross value added,1.728
E01008979,Gross value added,10.09
E01008980,Gross value added,7.075
E01008981,Gross value added,18.461
E01008982,Gross value added,60.745
E01008984,Gross value added,8.662
E01008986,Gross value added,5.898
E01008987,Gross value added,26.916
E01008988,Gross value added,125.02
E01008989,Gross value added,14.084
E01008990,Gross value added,334.303
E01008991,Gross value added,28.579
E01008992,Gross value added,22.527
E01008994,Gross value added,242.494
E01008995,Gross value added,20.171
E01008996,Gross value added,6.017
E01008997,Gross value added,23.667
E01008998,Gross value added,12.833
E01008999,Gross value added,4.456
E01009000,Gross value added,36.194
E01009001,Gross value added,4.844
E01009002,Gross value added,4.581
E01009003,Gross value added,23.269
E01009005,Gross value added,4.02
E01009006,Gross value added,4.847
E01009007,Gross value added,123.228
E01009008,Gross value added,17.873
E01009009,Gross value added,10.468
E01009011,Gross value added,11.554
E01009012,Gross value added,7.802
E01009013,Gross value added,44.362
E01009014,Gross value added,10.901
E01009015,Gross value added,32.053
E01009016,Gross value added,13.007
E01009017,Gross value added,3.515
E01009018,Gross value added,20.423
E01009019,Gross value added,2.894
E01009020,Gross value added,2.778
E01009021,Gross value added,47.14
E01009022,Gross value added,20.763
E01009023,Gross value added,8.422
E01009024,Gross value added,3.459
E01009025,Gross value added,6.29
E01009026,Gross value added,10.585
E01009028,Gross value added,2.545
E01009029,Gross value added,15.438
E01009030,Gross value added,8.53
E01009031,Gross value added,18.981
E01009032,Gross value added,7.686
E01009033,Gross value added,9.375
E01009034,Gross value added,13.006
E01009035,Gross value added,33.638
E01009036,Gross value added,9.138
E01009037,Gross value added,7.671
E01009039,Gross value added,8.914
E01009040,Gross value added,7.084
E01009041,Gross value added,7.934
E01009042,Gross value added,4.843
E01009043,Gross value added,14.752
E01009044,Gross value added,3.772
E01009045,Gross value added,38.528
E01009046,Gross value added,16.222
E01009047,Gross value added,22.678
E01009048,Gross value added,7.147
E01009049,Gross value added,4.442
E01009050,Gross value added,3.813
E01009051,Gross value added,28.29
E01009053,Gross value added,13.331
E01009054,Gross value added,9.706
E01009056,Gross value added,10.808
E01009057,Gross value added,3.575
E01009058,Gross value added,2.173
E01009059,Gross value added,2.206
E01009060,Gross value added,3.901
E01009061,Gross value added,1.899
E01009062,Gross value added,1.924
E01009064,Gross value added,5.905
E01009065,Gross value added,31.451
E01009066,Gross value added,31.053
E01009067,Gross value added,11.226
E01009068,Gross value added,45.682
E01009069,Gross value added,47.571
E01009070,Gross value added,7.68
E01009071,Gross value added,299.413
E01009072,Gross value added,8.892
E01009073,Gross value added,1.155
E01009074,Gross value added,7.173
E01009075,Gross value added,4.304
E01009077,Gross value added,5.149
E01009078,Gross value added,9.292
E01009079,Gross value added,5.9
E01009080,Gross value added,1.542
E01009081,Gross value added,2.161
E01009082,Gross value added,28.746
E01009083,Gross value added,8.704
E01009084,Gross value added,8.702
E01009085,Gross value added,6.261
E01009086,Gross value added,20.154
E01009087,Gross value added,10.478
E01009088,Gross value added,3.89
E01009089,Gross value added,7.184
E01009090,Gross value added,24.165
E01009091,Gross value added,3.966
E01009092,Gross value added,1.305
E01009093,Gross value added,14.268
E01009094,Gross value added,4.725
E01009095,Gross value added,26.923
E01009096,Gross value added,8.16
E01009097,Gross value added,27.804
E01009098,Gross value added,99.808
E01009099,Gross value added,14.907
E01009100,Gross value added,16.689
E01009101,Gross value added,572.562
E01009102,Gross value added,407.746
E01009103,Gross value added,3.998
E01009104,Gross value added,4.059
E01009105,Gross value added,4.458
E01009106,Gross value added,2.934
E01009107,Gross value added,7.82
E01009108,Gross value added,4.885
E01009109,Gross value added,5.3
E01009110,Gross value added,5.199
E01009111,Gross value added,4.774
E01009112,Gross value added,41.555
E01009113,Gross value added,9.393
E01009114,Gross value added,2.955
E01009115,Gross value added,13.47
E01009116,Gross value added,59.54
E01009117,Gross value added,9.952
E01009118,Gross value added,4.56
E01009119,Gross value added,191.911
E01009120,Gross value added,13.043
E01009121,Gross value added,12.489
E01009122,Gross value added,11.006
E01009123,Gross value added,13.569
E01009124,Gross value added,1.014
E01009125,Gross value added,13.569
E01009126,Gross value added,4.121
E01009127,Gross value added,2.78
E01009128,Gross value added,5.569
E01009129,Gross value added,5.936
E01009130,Gross value added,6.224
E01009131,Gross value added,4.89
E01009132,Gross value added,4.743
E01009133,Gross value added,2.942
E01009134,Gross value added,13.547
E01009135,Gross value added,7.189
E01009136,Gross value added,6.477
E01009137,Gross value added,4.325
E01009138,Gross value added,5.287
E01009139,Gross value added,4.358
E01009140,Gross value added,23.242
E01009141,Gross value added,20.177
E01009143,Gross value added,191.86
E01009145,Gross value added,7.583
E01009146,Gross value added,178.29
E01009147,Gross value added,23.165
E01009151,Gross value added,3.969
E01009152,Gross value added,4.351
E01009153,Gross value added,24.058
E01009155,Gross value added,2.287
E01009157,Gross value added,2.3
E01009158,Gross value added,49.813
E01009159,Gross value added,65.351
E01009160,Gross value added,7.31
E01009161,Gross value added,6.071
E01009162,Gross value added,34.964
E01009163,Gross value added,136.137
E01009164,Gross value added,3.155
E01009165,Gross value added,16.855
E01009166,Gross value added,3.582
E01009167,Gross value added,7.909
E01009168,Gross value added,4.141
E01009169,Gross value added,8.797
E01009170,Gross value added,6.004
E01009171,Gross value added,4.24
E01009172,Gross value added,3.054
E01009173,Gross value added,4.255
E01009174,Gross value added,4.41
E01009175,Gross value added,17.047
E01009176,Gross value added,8.03
E01009177,Gross value added,5.846
E01009178,Gross value added,59.565
E01009179,Gross value added,12.501
E01009182,Gross value added,6.383
E01009183,Gross value added,12.545
E01009184,Gross value added,55.429
E01009185,Gross value added,9.375
E01009186,Gross value added,31.15
E01009187,Gross value added,11.921
E01009188,Gross value added,29.064
E01009189,Gross value added,10.784
E01009192,Gross value added,39.474
E01009194,Gross value added,37.407
E01009195,Gross value added,2.906
E01009197,Gross value added,3.15
E01009198,Gross value added,55.481
E01009199,Gross value added,132.056
E01009200,Gross value added,204.986
E01009201,Gross value added,96.506
E01009202,Gross value added,126.286
E01009203,Gross value added,154.638
E01009204,Gross value added,70.566
E01009205,Gross value added,14.476
E01009206,Gross value added,12.785
E01009207,Gross value added,7.717
E01009208,Gross value added,10.332
E01009209,Gross value added,12.985
E01009210,Gross value added,9.903
E01009211,Gross value added,3.77
E01009212,Gross value added,9.952
E01009213,Gross value added,22.161
E01009214,Gross value added,4.765
E01009215,Gross value added,12.791
E01009216,Gross value added,6.867
E01009217,Gross value added,8.74
E01009218,Gross value added,10.564
E01009219,Gross value added,43.449
E01009220,Gross value added,6.156
E01009221,Gross value added,15.369
E01009222,Gross value added,38.119
E01009223,Gross value added,52.633
E01009224,Gross value added,3.099
E01009225,Gross value added,9.848
E01009226,Gross value added,10.524
E01009227,Gross value added,5.144
E01009228,Gross value added,6.483
E01009229,Gross value added,3.907
E01009230,Gross value added,19.475
E01009231,Gross value added,13.023
E01009232,Gross value added,33.1
E01009233,Gross value added,5.168
E01009234,Gross value added,18.712
E01009235,Gross value added,4.155
E01009236,Gross value added,3.53
E01009237,Gross value added,9.104
E01009238,Gross value added,14.035
E01009239,Gross value added,390.423
E01009240,Gross value added,24.351
E01009241,Gross value added,5.662
E01009242,Gross value added,40.148
E01009243,Gross value added,3.963
E01009244,Gross value added,24.957
E01009245,Gross value added,8.467
E01009246,Gross value added,6.799
E01009247,Gross value added,4.029
E01009248,Gross value added,10.939
E01009249,Gross value added,6.092
E01009250,Gross value added,9.292
E01009251,Gross value added,8.726
E01009252,Gross value added,36.288
E01009253,Gross value added,49.901
E01009254,Gross value added,11.08
E01009255,Gross value added,10.303
E01009256,Gross value added,3.243
E01009257,Gross value added,4.972
E01009258,Gross value added,3.212
E01009259,Gross value added,189.08
E01009260,Gross value added,8.843
E01009261,Gross value added,13.538
E01009262,Gross value added,12.916
E01009263,Gross value added,4.824
E01009264,Gross value added,2.859
E01009265,Gross value added,17.344
E01009266,Gross value added,11.87
E01009267,Gross value added,5.622
E01009268,Gross value added,3.622
E01009269,Gross value added,8.366
E01009270,Gross value added,6.66
E01009271,Gross value added,2.156
E01009272,Gross value added,12.081
E01009273,Gross value added,3.788
E01009274,Gross value added,14.101
E01009275,Gross value added,10.247
E01009276,Gross value added,4.41
E01009278,Gross value added,19.085
E01009279,Gross value added,11.07
E01009280,Gross value added,25.5
E01009281,Gross value added,30.552
E01009282,Gross value added,11
E01009283,Gross value added,20.793
E01009284,Gross value added,54.85
E01009286,Gross value added,22.024
E01009288,Gross value added,8.653
E01009289,Gross value added,22.024
E01009290,Gross value added,4.727
E01009291,Gross value added,3.199
E01009292,Gross value added,3.697
E01009293,Gross value added,8.224
E01009294,Gross value added,24.35
E01009295,Gross value added,7.411
E01009296,Gross value added,23.78
E01009297,Gross value added,8.986
E01009298,Gross value added,6.254
E01009299,Gross value added,10.278
E01009300,Gross value added,46.274
E01009301,Gross value added,6.072
E01009302,Gross value added,57.096
E01009303,Gross value added,32.373
E01009304,Gross value added,11.65
E01009305,Gross value added,3.623
E01009306,Gross value added,52.335
E01009307,Gross value added,5.456
E01009308,Gross value added,4.502
E01009309,Gross value added,10.948
E01009310,Gross value added,14.728
E01009311,Gross value added,3.744
E01009312,Gross value added,5.298
E01009313,Gross value added,18.704
E01009314,Gross value added,11.139
E01009315,Gross value added,47.012
E01009316,Gross value added,21.933
E01009317,Gross value added,9.926
E01009318,Gross value added,3.771
E01009319,Gross value added,19.366
E01009320,Gross value added,392.072
E01009321,Gross value added,57.096
E01009322,Gross value added,89.148
E01009323,Gross value added,3.078
E01009324,Gross value added,5.32
E01009325,Gross value added,1.973
E01009326,Gross value added,211.089
E01009327,Gross value added,2.007
E01009328,Gross value added,9.102
E01009329,Gross value added,29.851
E01009331,Gross value added,10.335
E01009332,Gross value added,43.848
E01009333,Gross value added,3.899
E01009334,Gross value added,6.148
E01009335,Gross value added,10.335
E01009337,Gross value added,8.141
E01009338,Gross value added,230.962
E01009339,Gross value added,108.415
E01009340,Gross value added,71.372
E01009341,Gross value added,211.089
E01009342,Gross value added,47.061
E01009343,Gross value added,5.532
E01009344,Gross value added,4.145
E01009345,Gross value added,334.7
E01009346,Gross value added,6.506
E01009347,Gross value added,14.352
E01009348,Gross value added,55.158
E01009349,Gross value added,42.433
E01009350,Gross value added,5.266
E01009351,Gross value added,3.802
E01009352,Gross value added,8.544
E01009353,Gross value added,7.651
E01009354,Gross value added,33.929
E01009355,Gross value added,28.623
E01009358,Gross value added,36.99
E01009359,Gross value added,18.208
E01009360,Gross value added,24.027
E01009361,Gross value added,4.643
E01009362,Gross value added,28.209
E01009363,Gross value added,21.135
E01009364,Gross value added,59.087
E01009365,Gross value added,28.211
E01009366,Gross value added,3.356
E01009367,Gross value added,44.963
E01009368,Gross value added,1.807
E01009371,Gross value added,19.815
E01009372,Gross value added,4.595
E01009373,Gross value added,3.559
E01009374,Gross value added,5.314
E01009375,Gross value added,7.585
E01009376,Gross value added,23.824
E01009377,Gross value added,6.564
E01009378,Gross value added,132.65
E01009379,Gross value added,30.293
E01009380,Gross value added,5.582
E01009382,Gross value added,18.422
E01009383,Gross value added,6.042
E01009384,Gross value added,15.066
E01009385,Gross value added,14.602
E01009389,Gross value added,4.706
E01009390,Gross value added,8.596
E01009391,Gross value added,6.112
E01009392,Gross value added,5.984
E01009393,Gross value added,15.547
E01009394,Gross value added,4.095
E01009395,Gross value added,5.242
E01009396,Gross value added,11.725
E01009397,Gross value added,17.656
E01009399,Gross value added,6.564
E01009400,Gross value added,102.678
E01009401,Gross value added,12.66
E01009403,Gross value added,3.932
E01009404,Gross value added,6.431
E01009405,Gross value added,6.6
E01009406,Gross value added,11.022
E01009407,Gross value added,20.853
E01009408,Gross value added,16.599
E01009409,Gross value added,4.647
E01009410,Gross value added,19.485
E01009411,Gross value added,4.505
E01009412,Gross value added,9.717
E01009413,Gross value added,3.79
E01009414,Gross value added,7.22
E01009415,Gross value added,11.694
E01009416,Gross value added,12.906
E01009417,Gross value added,7.44
