areacd,category,value
E01000001,Gross value added,1539.693
E01000002,Gross value added,21594.436
E01000003,Gross value added,54.372
E01000005,Gross value added,1142.532
E01000006,Gross value added,9.965
E01000007,Gross value added,122.234
E01000008,Gross value added,49.475
E01000009,Gross value added,23.274
E01000010,Gross value added,264.84
E01000011,Gross value added,4.949
E01000012,Gross value added,12.384
E01000013,Gross value added,28.046
E01000014,Gross value added,6.718
E01000015,Gross value added,33.13
E01000016,Gross value added,30.822
E01000017,Gross value added,8.365
E01000018,Gross value added,11.588
E01000019,Gross value added,14.645
E01000020,Gross value added,8.182
E01000021,Gross value added,11.202
E01000022,Gross value added,6.638
E01000023,Gross value added,12.664
E01000024,Gross value added,6.615
E01000025,Gross value added,8.32
E01000027,Gross value added,26.303
E01000028,Gross value added,6.811
E01000029,Gross value added,9.982
E01000030,Gross value added,14.6
E01000031,Gross value added,24.607
E01000032,Gross value added,25.021
E01000033,Gross value added,6.439
E01000034,Gross value added,34.835
E01000035,Gross value added,97.843
E01000036,Gross value added,21.193
E01000037,Gross value added,19.463
E01000038,Gross value added,14.463
E01000039,Gross value added,7.359
E01000040,Gross value added,25.267
E01000041,Gross value added,6.58
E01000042,Gross value added,6.195
E01000043,Gross value added,12.925
E01000044,Gross value added,15.527
E01000045,Gross value added,21.046
E01000046,Gross value added,7.845
E01000048,Gross value added,10.701
E01000049,Gross value added,27.449
E01000050,Gross value added,5.138
E01000051,Gross value added,23.738
E01000052,Gross value added,47.759
E01000053,Gross value added,20.955
E01000054,Gross value added,14.212
E01000055,Gross value added,7.752
E01000056,Gross value added,13.789
E01000057,Gross value added,11.732
E01000058,Gross value added,6.482
E01000059,Gross value added,10.297
E01000060,Gross value added,43.129
E01000061,Gross value added,35.212
E01000062,Gross value added,6.714
E01000063,Gross value added,6.63
E01000064,Gross value added,10.004
E01000065,Gross value added,29.131
E01000066,Gross value added,26.805
E01000067,Gross value added,8.429
E01000068,Gross value added,8.347
E01000069,Gross value added,10.105
E01000070,Gross value added,18.974
