areacd,category,value
E01004766,1998,23.66
E01004766,1999,24.522
E01004766,2000,26.046
E01004766,2001,29.204
E01004766,2002,31.424
E01004766,2003,32.09
E01004766,2004,35.201
E01004766,2005,39.602
E01004766,2006,42.825
E01004766,2007,45.054
E01004766,2008,44.272
E01004766,2009,45.132
E01004766,2010,46.418
E01004766,2011,47.007
E01004766,2012,48.963
E01004766,2013,61.43
E01004766,2014,51.997
E01004766,2015,32.346
E01004766,2016,24.233
E01004766,2017,20.681
E01004766,2018,23.78
E01004766,2019,24.903
E01004766,2020,23.779
E01004767,1998,10.362
E01004767,1999,11.138
E01004767,2000,11.523
E01004767,2001,11.981
E01004767,2002,12.301
E01004767,2003,13.193
E01004767,2004,13.926
E01004767,2005,14.703
E01004767,2006,15.376
E01004767,2007,16.017
E01004767,2008,16.394
E01004767,2009,16.425
E01004767,2010,17.071
E01004767,2011,17.345
E01004767,2012,17.487
E01004767,2013,20.338
E01004767,2014,23.02
E01004767,2015,23.119
E01004767,2016,21.773
E01004767,2017,23.292
E01004767,2018,24.05
E01004767,2019,24.108
E01004767,2020,29.934
E01004768,1998,9.046
E01004768,1999,8.764
E01004768,2000,9.038
E01004768,2001,9.405
E01004768,2002,9.771
E01004768,2003,10.437
E01004768,2004,10.763
E01004768,2005,11.391
E01004768,2006,12.109
E01004768,2007,12.04
E01004768,2008,11.583
E01004768,2009,11.222
E01004768,2010,10.844
E01004768,2011,10.663
E01004768,2012,10.394
E01004768,2013,12.991
E01004768,2014,14.226
E01004768,2015,13.996
E01004768,2016,14.36
E01004768,2017,13.825
E01004768,2018,14.325
E01004768,2019,20.167
E01004768,2020,17.975
E01004769,1998,4.039
E01004769,1999,4.156
E01004769,2000,4.268
E01004769,2001,4.29
E01004769,2002,4.432
E01004769,2003,4.421
E01004769,2004,4.789
E01004769,2005,5.146
E01004769,2006,5.366
E01004769,2007,5.757
E01004769,2008,5.861
E01004769,2009,5.337
E01004769,2010,5.037
E01004769,2011,5.05
E01004769,2012,5.242
E01004769,2013,5.141
E01004769,2014,5.397
E01004769,2015,6.252
E01004769,2016,5.151
E01004769,2017,5.119
E01004769,2018,5.311
E01004769,2019,5.094
E01004769,2020,5.25
E01004770,1998,5.775
E01004770,1999,5.926
E01004770,2000,6.248
E01004770,2001,6.421
E01004770,2002,6.593
E01004770,2003,6.686
E01004770,2004,7.384
E01004770,2005,7.833
E01004770,2006,8.244
E01004770,2007,8.683
E01004770,2008,8.978
E01004770,2009,8.998
E01004770,2010,9.09
E01004770,2011,9.39
E01004770,2012,9.138
E01004770,2013,9.858
E01004770,2014,10.018
E01004770,2015,9.775
E01004770,2016,10.026
E01004770,2017,11.526
E01004770,2018,11.777
E01004770,2019,11.961
E01004770,2020,11.01
E01004771,1998,4.955
E01004771,1999,5.109
E01004771,2000,5.331
E01004771,2001,5.394
E01004771,2002,5.482
E01004771,2003,5.5
E01004771,2004,5.999
E01004771,2005,6.438
E01004771,2006,6.812
E01004771,2007,7.131
E01004771,2008,7.299
E01004771,2009,7.059
E01004771,2010,6.821
E01004771,2011,6.837
E01004771,2012,7.049
E01004771,2013,7.272
E01004771,2014,8.034
E01004771,2015,9.99
E01004771,2016,10.611
E01004771,2017,9.877
E01004771,2018,10.698
E01004771,2019,11.581
E01004771,2020,10.933
E01004772,1998,4.132
E01004772,1999,4.283
E01004772,2000,4.366
E01004772,2001,4.46
E01004772,2002,4.509
E01004772,2003,4.511
E01004772,2004,4.882
E01004772,2005,5.314
E01004772,2006,5.625
E01004772,2007,5.89
E01004772,2008,6.067
E01004772,2009,5.877
E01004772,2010,5.587
E01004772,2011,5.421
E01004772,2012,5.595
E01004772,2013,5.839
E01004772,2014,5.105
E01004772,2015,4.657
E01004772,2016,3.818
E01004772,2017,4.592
E01004772,2018,5.406
E01004772,2019,4.645
E01004772,2020,4.53
E01004773,1998,4.523
E01004773,1999,4.725
E01004773,2000,4.661
E01004773,2001,4.723
E01004773,2002,4.778
E01004773,2003,4.761
E01004773,2004,5.078
E01004773,2005,5.282
E01004773,2006,5.533
E01004773,2007,5.862
E01004773,2008,6.048
E01004773,2009,5.75
E01004773,2010,5.624
E01004773,2011,5.727
E01004773,2012,5.458
E01004773,2013,4.684
E01004773,2014,5.179
E01004773,2015,5.448
E01004773,2016,6.281
E01004773,2017,5.701
E01004773,2018,5.268
E01004773,2019,4.994
E01004773,2020,4.4
E01004774,1998,5.386
E01004774,1999,5.495
E01004774,2000,5.845
E01004774,2001,6.17
E01004774,2002,6.431
E01004774,2003,6.536
E01004774,2004,7.183
E01004774,2005,7.59
E01004774,2006,7.992
E01004774,2007,8.577
E01004774,2008,8.833
E01004774,2009,9.082
E01004774,2010,9.177
E01004774,2011,9.635
E01004774,2012,9.491
E01004774,2013,10.534
E01004774,2014,5.863
E01004774,2015,6.01
E01004774,2016,4.441
E01004774,2017,3.839
E01004774,2018,3.824
E01004774,2019,3.999
E01004774,2020,4.169
E01004775,1998,384.723
E01004775,1999,383.967
E01004775,2000,315.53
E01004775,2001,339.888
E01004775,2002,316.349
E01004775,2003,357.165
E01004775,2004,385.316
E01004775,2005,406.145
E01004775,2006,426.783
E01004775,2007,442.76
E01004775,2008,447.111
E01004775,2009,510.76
E01004775,2010,483.112
E01004775,2011,477.082
E01004775,2012,554.641
E01004775,2013,521.867
E01004775,2014,565.069
E01004775,2015,554.68
E01004775,2016,586.171
E01004775,2017,575.431
E01004775,2018,589.436
E01004775,2019,700.94
E01004775,2020,751.351
E01004776,1998,156.97
E01004776,1999,165.914
E01004776,2000,167.639
E01004776,2001,180.988
E01004776,2002,189.619
E01004776,2003,194.679
E01004776,2004,210.019
E01004776,2005,206.964
E01004776,2006,214.262
E01004776,2007,221.185
E01004776,2008,221.451
E01004776,2009,222.768
E01004776,2010,221.333
E01004776,2011,220.128
E01004776,2012,249.409
E01004776,2013,233.628
E01004776,2014,274.201
E01004776,2015,308.914
E01004776,2016,337.246
E01004776,2017,356.924
E01004776,2018,350.138
E01004776,2019,303.014
E01004776,2020,215.409
E01004777,1998,8.452
E01004777,1999,8.682
E01004777,2000,9.264
E01004777,2001,10.062
E01004777,2002,10.582
E01004777,2003,10.432
E01004777,2004,10.757
