areacd,category,value
W01000001,1998,5.626
W01000001,1999,5.675
W01000001,2000,5.848
W01000001,2001,5.854
W01000001,2002,6.125
W01000001,2003,6.429
W01000001,2004,7.001
W01000001,2005,6.371
W01000001,2006,6.953
W01000001,2007,6.81
W01000001,2008,6.935
W01000001,2009,6.551
W01000001,2010,6.21
W01000001,2011,6.453
W01000001,2012,6.806
W01000001,2013,8.718
W01000001,2014,9.542
W01000001,2015,8.867
W01000001,2016,6.708
W01000001,2017,7.285
W01000001,2018,7.93
W01000001,2019,7.722
W01000001,2020,8.928
W01000002,1998,6.997
W01000002,1999,7.093
W01000002,2000,7.32
W01000002,2001,7.389
W01000002,2002,7.785
W01000002,2003,8.179
W01000002,2004,8.808
W01000002,2005,8.015
W01000002,2006,8.664
W01000002,2007,8.608
W01000002,2008,8.763
W01000002,2009,8.306
W01000002,2010,7.805
W01000002,2011,8.108
W01000002,2012,8.537
W01000002,2013,11.104
W01000002,2014,11.538
W01000002,2015,12.942
W01000002,2016,12.99
W01000002,2017,14.755
W01000002,2018,16.232
W01000002,2019,15.28
W01000002,2020,15.748
W01000003,1998,14.23
W01000003,1999,15.373
W01000003,2000,15.896
W01000003,2001,16.759
W01000003,2002,17.177
W01000003,2003,17.698
W01000003,2004,18.79
W01000003,2005,19.181
W01000003,2006,20.622
W01000003,2007,20.191
W01000003,2008,19.501
W01000003,2009,42.424
W01000003,2010,20.132
W01000003,2011,22.198
W01000003,2012,22.018
W01000003,2013,23.178
W01000003,2014,23.516
W01000003,2015,23.818
W01000003,2016,23.791
W01000003,2017,20.48
W01000003,2018,24.404
W01000003,2019,23.613
W01000003,2020,21.401
W01000004,1998,5.984
W01000004,1999,6.298
W01000004,2000,6.38
W01000004,2001,6.637
W01000004,2002,6.947
W01000004,2003,7.276
W01000004,2004,8.062
W01000004,2005,8.079
W01000004,2006,8.658
W01000004,2007,8.646
W01000004,2008,8.904
W01000004,2009,8.477
W01000004,2010,8.243
W01000004,2011,8.55
W01000004,2012,9.261
W01000004,2013,9.344
W01000004,2014,9.358
W01000004,2015,5.764
W01000004,2016,6.83
W01000004,2017,6.155
W01000004,2018,7.278
W01000004,2019,6.76
W01000004,2020,9.917
W01000005,1998,11.106
W01000005,1999,11.428
W01000005,2000,11.716
W01000005,2001,12.043
W01000005,2002,12.372
W01000005,2003,13.254
W01000005,2004,14.874
W01000005,2005,15.114
W01000005,2006,16.341
W01000005,2007,16.485
W01000005,2008,16.484
W01000005,2009,15.855
W01000005,2010,15.984
W01000005,2011,16.878
W01000005,2012,17.484
W01000005,2013,15.942
W01000005,2014,16.306
W01000005,2015,21.957
W01000005,2016,19.506
W01000005,2017,18.843
W01000005,2018,20.705
W01000005,2019,19.526
W01000005,2020,17.164
W01000006,1998,13.381
W01000006,1999,12.905
W01000006,2000,13.831
W01000006,2001,13.662
W01000006,2002,14.563
W01000006,2003,16.52
W01000006,2004,18.306
W01000006,2005,18.262
W01000006,2006,19.445
W01000006,2007,19.752
W01000006,2008,21.047
W01000006,2009,18.991
W01000006,2010,18.269
W01000006,2011,19.9
W01000006,2012,24.449
W01000006,2013,26.381
W01000006,2014,27.344
W01000006,2015,26.608
W01000006,2016,28.605
W01000006,2017,31.839
W01000006,2018,32.101
W01000006,2019,34.351
W01000006,2020,36.122
W01000007,1998,7.54
W01000007,1999,7.638
W01000007,2000,7.916
W01000007,2001,8.007
W01000007,2002,8.303
W01000007,2003,8.777
W01000007,2004,9.433
W01000007,2005,8.797
W01000007,2006,9.621
W01000007,2007,9.615
W01000007,2008,9.795
W01000007,2009,9.131
W01000007,2010,8.896
W01000007,2011,9.338
W01000007,2012,9.539
W01000007,2013,8.937
W01000007,2014,10.401
W01000007,2015,11.239
W01000007,2016,13.055
W01000007,2017,13.244
W01000007,2018,13.744
W01000007,2019,12.535
W01000007,2020,11.585
W01000008,1998,6.746
W01000008,1999,6.924
W01000008,2000,7.089
W01000008,2001,7.428
W01000008,2002,7.584
W01000008,2003,7.832
W01000008,2004,8.591
W01000008,2005,8.66
W01000008,2006,9.636
W01000008,2007,9.401
W01000008,2008,9.387
W01000008,2009,9.025
W01000008,2010,8.779
W01000008,2011,9
W01000008,2012,9.538
W01000008,2013,9.096
W01000008,2014,8.877
W01000008,2015,9.489
W01000008,2016,9.789
W01000008,2017,9.471
W01000008,2018,10.027
W01000008,2019,9.64
W01000008,2020,8.295
W01000009,1998,8.393
W01000009,1999,8.42
W01000009,2000,8.86
W01000009,2001,8.929
W01000009,2002,9.422
W01000009,2003,9.842
W01000009,2004,10.47
W01000009,2005,10.332
W01000009,2006,11.456
