areacd,category,value
E01016016,1998,6.803
E01016016,1999,7.335
E01016016,2000,7.982
E01016016,2001,8.277
E01016016,2002,8.712
E01016016,2003,9.486
E01016016,2004,9.8
E01016016,2005,10.737
E01016016,2006,11.165
E01016016,2007,12.331
E01016016,2008,12.913
E01016016,2009,12.99
E01016016,2010,13.292
E01016016,2011,13.605
E01016016,2012,15.544
E01016016,2013,17.838
E01016016,2014,18.261
E01016016,2015,19.551
E01016016,2016,21.097
E01016016,2017,22.11
E01016016,2018,21.064
E01016016,2019,18.758
E01016016,2020,20.248
E01016017,1998,8.863
E01016017,1999,9.439
E01016017,2000,9.474
E01016017,2001,9.871
E01016017,2002,10.691
E01016017,2003,10.947
E01016017,2004,11.616
E01016017,2005,12.051
E01016017,2006,12.433
E01016017,2007,12.75
E01016017,2008,13.143
E01016017,2009,13.588
E01016017,2010,13.503
E01016017,2011,13.714
E01016017,2012,14.512
E01016017,2013,16.053
E01016017,2014,16.249
E01016017,2015,14.694
E01016017,2016,10.632
E01016017,2017,11.505
E01016017,2018,11.046
E01016017,2019,10.733
E01016017,2020,11.695
E01016018,1998,3.681
E01016018,1999,3.784
E01016018,2000,3.717
E01016018,2001,4.004
E01016018,2002,4.38
E01016018,2003,4.753
E01016018,2004,5.032
E01016018,2005,5.137
E01016018,2006,5.219
E01016018,2007,5.358
E01016018,2008,5.878
E01016018,2009,5.698
E01016018,2010,5.593
E01016018,2011,5.507
E01016018,2012,5.949
E01016018,2013,6.537
E01016018,2014,5.869
E01016018,2015,5.13
E01016018,2016,6.184
E01016018,2017,5.794
E01016018,2018,6.525
E01016018,2019,6.563
E01016018,2020,6.916
E01016019,1998,3.291
E01016019,1999,3.392
E01016019,2000,3.406
E01016019,2001,3.63
E01016019,2002,3.86
E01016019,2003,4.128
E01016019,2004,4.454
E01016019,2005,4.473
E01016019,2006,4.769
E01016019,2007,5.064
E01016019,2008,5.488
E01016019,2009,5.466
E01016019,2010,5.572
E01016019,2011,5.579
E01016019,2012,6.104
E01016019,2013,8.495
E01016019,2014,9.014
E01016019,2015,7.673
E01016019,2016,10.448
E01016019,2017,9.947
E01016019,2018,9.962
E01016019,2019,11.583
E01016019,2020,10.186
E01016020,1998,4.353
E01016020,1999,4.447
E01016020,2000,4.446
E01016020,2001,4.715
E01016020,2002,5.043
E01016020,2003,5.399
E01016020,2004,5.819
E01016020,2005,5.832
E01016020,2006,6.139
E01016020,2007,6.451
E01016020,2008,7.04
E01016020,2009,6.997
E01016020,2010,6.979
E01016020,2011,7.032
E01016020,2012,7.623
E01016020,2013,8.094
E01016020,2014,8.638
E01016020,2015,8.687
E01016020,2016,9.351
E01016020,2017,9.638
E01016020,2018,10.137
E01016020,2019,10.872
E01016020,2020,12.001
E01016021,1998,2.397
E01016021,1999,2.467
E01016021,2000,2.499
E01016021,2001,2.609
E01016021,2002,2.731
E01016021,2003,2.961
E01016021,2004,3.101
E01016021,2005,3.226
E01016021,2006,3.303
E01016021,2007,3.336
E01016021,2008,3.587
E01016021,2009,3.424
E01016021,2010,3.281
E01016021,2011,3.378
E01016021,2012,3.593
E01016021,2013,3.664
E01016021,2014,3.729
E01016021,2015,4.229
E01016021,2016,4.554
E01016021,2017,4.93
E01016021,2018,5.283
E01016021,2019,5.377
E01016021,2020,5.188
E01016022,1998,2.407
E01016022,1999,2.391
E01016022,2000,2.371
E01016022,2001,2.511
E01016022,2002,2.674
E01016022,2003,2.945
E01016022,2004,3.132
E01016022,2005,3.221
E01016022,2006,3.259
E01016022,2007,3.335
E01016022,2008,3.754
E01016022,2009,3.508
E01016022,2010,3.374
E01016022,2011,3.424
E01016022,2012,3.609
E01016022,2013,4.041
E01016022,2014,4.369
E01016022,2015,5.135
E01016022,2016,5.252
E01016022,2017,6.517
E01016022,2018,7.047
E01016022,2019,7.457
E01016022,2020,7.69
E01016023,1998,9.315
E01016023,1999,9.837
E01016023,2000,10.799
E01016023,2001,12.369
E01016023,2002,12.827
E01016023,2003,14.321
E01016023,2004,14.823
E01016023,2005,14.8
E01016023,2006,16.565
E01016023,2007,16.347
E01016023,2008,16.729
E01016023,2009,15.321
E01016023,2010,16.922
E01016023,2011,17.819
E01016023,2012,17.786
E01016023,2013,19.462
E01016023,2014,17.923
E01016023,2015,20.786
E01016023,2016,15.263
E01016023,2017,10.276
E01016023,2018,5.901
E01016023,2019,5.866
E01016023,2020,6.365
E01016024,1998,3.448
E01016024,1999,3.574
E01016024,2000,3.785
E01016024,2001,4.166
E01016024,2002,4.318
E01016024,2003,4.735
E01016024,2004,4.92
E01016024,2005,4.961
E01016024,2006,5.365
E01016024,2007,5.3
E01016024,2008,5.525
E01016024,2009,5.108
E01016024,2010,5.35
E01016024,2011,5.613
E01016024,2012,5.753
E01016024,2013,3.001
E01016024,2014,4.071
E01016024,2015,4.126
E01016024,2016,4.494
E01016024,2017,4.247
E01016024,2018,16.455
E01016024,2019,16.906
E01016024,2020,17.989
E01016025,1998,24.678
E01016025,1999,28.903
E01016025,2000,28.457
E01016025,2001,26.627
E01016025,2002,26.302
E01016025,2003,32.198
E01016025,2004,36.6
E01016025,2005,35.541
E01016025,2006,38.752
E01016025,2007,42.391
E01016025,2008,40.508
E01016025,2009,39.453
E01016025,2010,42.143
E01016025,2011,37.044
E01016025,2012,37.129
E01016025,2013,7.559
E01016025,2014,8.674
E01016025,2015,7.877
E01016025,2016,15.079
E01016025,2017,18.694
E01016025,2018,20.514
E01016025,2019,24.233
E01016025,2020,27.201
E01016026,1998,4.535
E01016026,1999,4.63
E01016026,2000,4.668
E01016026,2001,4.895
E01016026,2002,5.151
E01016026,2003,5.586
E01016026,2004,5.915
E01016026,2005,6.15
E01016026,2006,6.309
E01016026,2007,6.511
E01016026,2008,7.114
E01016026,2009,6.754
E01016026,2010,6.64
E01016026,2011,6.812
E01016026,2012,7.222
E01016026,2013,7.135
E01016026,2014,7.701
E01016026,2015,9.808
E01016026,2016,10.436
E01016026,2017,10.862
E01016026,2018,10.965
E01016026,2019,9.278
E01016026,2020,9.197
E01016027,1998,4.751
E01016027,1999,4.834
E01016027,2000,4.85
E01016027,2001,5.088
E01016027,2002,5.261
E01016027,2003,5.846
E01016027,2004,6.04
E01016027,2005,6.425
E01016027,2006,6.544
E01016027,2007,6.753
E01016027,2008,7.464
E01016027,2009,6.867
E01016027,2010,6.792
E01016027,2011,7.093
E01016027,2012,7.443
E01016027,2013,6.845
E01016027,2014,9.822
E01016027,2015,8.471
E01016027,2016,8.752
E01016027,2017,11.323
E01016027,2018,9.697
E01016027,2019,8.681
E01016027,2020,8.036
E01016028,1998,6.967
E01016028,1999,7.213
E01016028,2000,7.161
E01016028,2001,7.534
E01016028,2002,8.052
E01016028,2003,8.596
E01016028,2004,9.044
E01016028,2005,9.514
E01016028,2006,9.85
E01016028,2007,10.204
E01016028,2008,10.757
E01016028,2009,10.456
E01016028,2010,10.39
E01016028,2011,10.486
E01016028,2012,11.574
E01016028,2013,12.658
E01016028,2014,11.114
E01016028,2015,17.223
E01016028,2016,16.024
E01016028,2017,14.448
E01016028,2018,14.979
