areacd,category,value
E01007317,1998,3.355
E01007317,1999,3.452
E01007317,2000,3.519
E01007317,2001,3.731
E01007317,2002,3.835
E01007317,2003,4.108
E01007317,2004,4.527
E01007317,2005,4.7
E01007317,2006,4.944
E01007317,2007,5.336
E01007317,2008,5.502
E01007317,2009,5.432
E01007317,2010,5.072
E01007317,2011,5.24
E01007317,2012,5.488
E01007317,2013,4.779
E01007317,2014,6.031
E01007317,2015,12.627
E01007317,2016,11.675
E01007317,2017,11.493
E01007317,2018,12.004
E01007317,2019,12.598
E01007317,2020,11.101
E01007318,1998,4.05
E01007318,1999,4.189
E01007318,2000,4.373
E01007318,2001,4.556
E01007318,2002,4.741
E01007318,2003,5.065
E01007318,2004,5.42
E01007318,2005,5.828
E01007318,2006,6.148
E01007318,2007,6.632
E01007318,2008,6.645
E01007318,2009,6.569
E01007318,2010,6.582
E01007318,2011,7.035
E01007318,2012,7.553
E01007318,2013,8.024
E01007318,2014,9.315
E01007318,2015,19.185
E01007318,2016,20.849
E01007318,2017,15.608
E01007318,2018,13.297
E01007318,2019,10.794
E01007318,2020,13.424
E01007319,1998,24.696
E01007319,1999,25.719
E01007319,2000,26.419
E01007319,2001,28.375
E01007319,2002,30.51
E01007319,2003,30.964
E01007319,2004,33.299
E01007319,2005,34.134
E01007319,2006,37.258
E01007319,2007,37.272
E01007319,2008,37.12
E01007319,2009,36.621
E01007319,2010,39.196
E01007319,2011,39.866
E01007319,2012,42.1
E01007319,2013,41.733
E01007319,2014,40.483
E01007319,2015,34.875
E01007319,2016,38.875
E01007319,2017,35.444
E01007319,2018,33.614
E01007319,2019,33.255
E01007319,2020,34.37
E01007320,1998,3.148
E01007320,1999,3.236
E01007320,2000,3.296
E01007320,2001,3.276
E01007320,2002,3.387
E01007320,2003,3.544
E01007320,2004,3.833
E01007320,2005,4.115
E01007320,2006,4.318
E01007320,2007,4.538
E01007320,2008,4.504
E01007320,2009,3.824
E01007320,2010,3.737
E01007320,2011,3.786
E01007320,2012,3.921
E01007320,2013,5.058
E01007320,2014,3.254
E01007320,2015,3.758
E01007320,2016,3.034
E01007320,2017,4.158
E01007320,2018,4.152
E01007320,2019,4.356
E01007320,2020,4.139
E01007321,1998,4.541
E01007321,1999,4.637
E01007321,2000,4.868
E01007321,2001,5.155
E01007321,2002,5.182
E01007321,2003,5.642
E01007321,2004,6.322
E01007321,2005,7.005
E01007321,2006,7.42
E01007321,2007,7.989
E01007321,2008,8.064
E01007321,2009,7.025
E01007321,2010,6.316
E01007321,2011,6.975
E01007321,2012,8.09
E01007321,2013,6.555
E01007321,2014,6.394
E01007321,2015,5.211
E01007321,2016,4.327
E01007321,2017,4.884
E01007321,2018,6.099
E01007321,2019,5.792
E01007321,2020,4.579
E01007322,1998,27.478
E01007322,1999,28.382
E01007322,2000,30.857
E01007322,2001,32.663
E01007322,2002,34.152
E01007322,2003,36.146
E01007322,2004,39.525
E01007322,2005,40.184
E01007322,2006,42.137
E01007322,2007,44.75
E01007322,2008,42.562
E01007322,2009,38.999
E01007322,2010,41.266
E01007322,2011,43.281
E01007322,2012,44.119
E01007322,2013,46.81
E01007322,2014,46.49
E01007322,2015,65.235
E01007322,2016,65.892
E01007322,2017,72.491
E01007322,2018,74.142
E01007322,2019,78.303
E01007322,2020,80.829
E01007323,1998,11.582
E01007323,1999,11.811
E01007323,2000,12.405
E01007323,2001,14.321
E01007323,2002,15.12
E01007323,2003,16.604
E01007323,2004,18.02
E01007323,2005,19.103
E01007323,2006,21.094
E01007323,2007,22.126
E01007323,2008,22.365
E01007323,2009,22.979
E01007323,2010,23.662
E01007323,2011,15.218
E01007323,2012,15.962
E01007323,2013,15.383
E01007323,2014,17.96
E01007323,2015,5.87
E01007323,2016,5.94
E01007323,2017,3.451
E01007323,2018,3.917
E01007323,2019,4.127
E01007323,2020,2.764
E01007324,1998,8.368
E01007324,1999,7.778
E01007324,2000,7.917
E01007324,2001,7.88
E01007324,2002,8.363
E01007324,2003,8.978
E01007324,2004,9.037
E01007324,2005,9.168
E01007324,2006,9.593
E01007324,2007,10.265
E01007324,2008,10.112
E01007324,2009,9.851
E01007324,2010,9.74
E01007324,2011,9.696
E01007324,2012,9.91
E01007324,2013,9.769
E01007324,2014,17.96
E01007324,2015,7.313
E01007324,2016,10.658
E01007324,2017,8.002
E01007324,2018,7.349
E01007324,2019,7.334
E01007324,2020,10.679
E01007325,1998,1.426
E01007325,1999,1.487
E01007325,2000,1.46
E01007325,2001,1.453
E01007325,2002,1.379
E01007325,2003,1.478
E01007325,2004,1.669
E01007325,2005,1.783
E01007325,2006,1.81
E01007325,2007,1.958
E01007325,2008,1.962
E01007325,2009,1.795
E01007325,2010,1.634
E01007325,2011,1.804
E01007325,2012,1.898
E01007325,2013,1.463
E01007325,2014,2.031
E01007325,2015,0.585
E01007325,2016,0.959
E01007325,2017,1.546
E01007325,2018,1.107
E01007325,2019,1.787
E01007325,2020,1.476
E01007326,1998,3.078
E01007326,1999,3.155
E01007326,2000,3.408
E01007326,2001,3.549
E01007326,2002,3.741
E01007326,2003,3.989
E01007326,2004,4.308
E01007326,2005,4.567
E01007326,2006,4.717
E01007326,2007,5.179
E01007326,2008,5.214
E01007326,2009,4.658
E01007326,2010,4.676
E01007326,2011,15.218
E01007326,2012,15.962
E01007326,2013,15.383
E01007326,2014,2.829
E01007326,2015,3.091
E01007326,2016,3.442
E01007326,2017,3.57
E01007326,2018,3.408
E01007326,2019,3.389
E01007326,2020,3.265
E01007327,1998,26.655
E01007327,1999,26.495
E01007327,2000,27.345
E01007327,2001,29.252
E01007327,2002,31.091
E01007327,2003,32.87
E01007327,2004,34.191
E01007327,2005,34.423
E01007327,2006,35.624
E01007327,2007,38.322
E01007327,2008,38.42
E01007327,2009,37.313
E01007327,2010,38.476
E01007327,2011,37.826
E01007327,2012,37.455
E01007327,2013,44.271
E01007327,2014,46.47
E01007327,2015,55.445
E01007327,2016,53.162
E01007327,2017,49.917
E01007327,2018,51.245
E01007327,2019,62.364
E01007327,2020,63.925
E01007328,1998,4.724
E01007328,1999,4.96
E01007328,2000,5.037
E01007328,2001,5.023
E01007328,2002,5.307
E01007328,2003,5.684
E01007328,2004,6.093
E01007328,2005,6.537
E01007328,2006,6.92
E01007328,2007,7.236
E01007328,2008,6.902
E01007328,2009,6.068
E01007328,2010,6.061
E01007328,2011,6.191
E01007328,2012,6.233
E01007328,2013,7.861
E01007328,2014,7.449
E01007328,2015,8.404
E01007328,2016,9.494
E01007328,2017,9.392
E01007328,2018,8.952
E01007328,2019,10.221
E01007328,2020,8.488
E01007329,1998,3.184
E01007329,1999,3.267
E01007329,2000,3.302
E01007329,2001,3.47
E01007329,2002,3.414
E01007329,2003,3.633
E01007329,2004,3.887
E01007329,2005,4.095
E01007329,2006,4.005
E01007329,2007,4.278
E01007329,2008,4.166
E01007329,2009,3.877
E01007329,2010,3.831
E01007329,2011,4.232
E01007329,2012,4.257
E01007329,2013,4.407
E01007329,2014,4.628
E01007329,2015,4.01
E01007329,2016,4.723
E01007329,2017,5.636
E01007329,2018,6.723
E01007329,2019,7.477
E01007329,2020,6.868
E01007330,1998,4.14
E01007330,1999,4.284
E01007330,2000,4.358
E01007330,2001,4.502
E01007330,2002,4.64
E01007330,2003,4.944
E01007330,2004,5.352
E01007330,2005,5.636
E01007330,2006,5.94
E01007330,2007,6.396
E01007330,2008,6.451
E01007330,2009,5.933
E01007330,2010,5.63
E01007330,2011,5.72
E01007330,2012,5.843
E01007330,2013,6.04
E01007330,2014,5.748
E01007330,2015,5.807
E01007330,2016,5.669
E01007330,2017,5.98
E01007330,2018,6.598
E01007330,2019,6.304
E01007330,2020,6.419
E01007331,1998,8.195
E01007331,1999,8.194
E01007331,2000,8.105
E01007331,2001,8.353
E01007331,2002,9.17
E01007331,2003,9.626
E01007331,2004,10.131
E01007331,2005,10.135
E01007331,2006,10.399
E01007331,2007,10.82
E01007331,2008,11.226
E01007331,2009,10.771
E01007331,2010,10.611
E01007331,2011,11.022
E01007331,2012,11.83
E01007331,2013,12.925
E01007331,2014,12.635
E01007331,2015,17.62
E01007331,2016,18.636
E01007331,2017,20.709
E01007331,2018,20.333
E01007331,2019,23.07
E01007331,2020,20.713
E01007332,1998,37.988
E01007332,1999,36.648
E01007332,2000,37.876
E01007332,2001,41.965
E01007332,2002,44.539
E01007332,2003,47.441
E01007332,2004,50.411
E01007332,2005,50.6
E01007332,2006,50.888
E01007332,2007,50.973
E01007332,2008,53.436
E01007332,2009,49.537
E01007332,2010,48.738
E01007332,2011,51.393
E01007332,2012,55.067
E01007332,2013,52.677
E01007332,2014,54.291
E01007332,2015,61.458
E01007332,2016,70.032
E01007332,2017,63.676
E01007332,2018,69.1
E01007332,2019,121.613
E01007332,2020,110.164
E01007333,1998,2.61
E01007333,1999,2.699
E01007333,2000,2.75
E01007333,2001,2.947
E01007333,2002,3.033
E01007333,2003,3.269
E01007333,2004,3.585
E01007333,2005,3.738
E01007333,2006,3.952
E01007333,2007,4.26
E01007333,2008,4.378
E01007333,2009,4.387
E01007333,2010,4.121
E01007333,2011,4.275
E01007333,2012,4.45
E01007333,2013,4.891
E01007333,2014,5.611
E01007333,2015,3.891
E01007333,2016,4.395
E01007333,2017,4.798
E01007333,2018,5.27
E01007333,2019,5.154
E01007333,2020,4.743
E01007334,1998,34.354
E01007334,1999,38.196
E01007334,2000,40.461
E01007334,2001,38.445
E01007334,2002,41.115
E01007334,2003,39.731
E01007334,2004,40.09
E01007334,2005,63.539
E01007334,2006,60.115
E01007334,2007,63.696
E01007334,2008,52.88
E01007334,2009,50.918
E01007334,2010,55.765
E01007334,2011,52.81
E01007334,2012,46.759
E01007334,2013,46.411
E01007334,2014,49.139
E01007334,2015,50.68
E01007334,2016,55.509
E01007334,2017,57.217
E01007334,2018,55.694
E01007334,2019,63.176
E01007334,2020,60.474
E01007335,1998,4.581
E01007335,1999,4.761
E01007335,2000,4.963
E01007335,2001,4.845
E01007335,2002,5.231
E01007335,2003,5.616
E01007335,2004,5.936
E01007335,2005,6.542
E01007335,2006,7.045
E01007335,2007,7.354
E01007335,2008,7.183
E01007335,2009,5.855
E01007335,2010,5.76
