areacd,category,value
E01015589,1998,8.585
E01015589,1999,8.947
E01015589,2000,9.194
E01015589,2001,9.412
E01015589,2002,10.132
E01015589,2003,10.876
E01015589,2004,11.571
E01015589,2005,11.433
E01015589,2006,12.367
E01015589,2007,12.505
E01015589,2008,13.047
E01015589,2009,12.038
E01015589,2010,11.622
E01015589,2011,11.993
E01015589,2012,11.591
E01015589,2013,11.349
E01015589,2014,12.887
E01015589,2015,13.653
E01015589,2016,16.535
E01015589,2017,19.237
E01015589,2018,19.344
E01015589,2019,18.236
E01015589,2020,16.276
E01015590,1998,12.473
E01015590,1999,12.904
E01015590,2000,13.154
E01015590,2001,13.793
E01015590,2002,15.146
E01015590,2003,15.625
E01015590,2004,16.379
E01015590,2005,16.821
E01015590,2006,17.82
E01015590,2007,18.318
E01015590,2008,18.911
E01015590,2009,17.623
E01015590,2010,17.549
E01015590,2011,18.278
E01015590,2012,20.125
E01015590,2013,17.24
E01015590,2014,17.245
E01015590,2015,18.359
E01015590,2016,17.898
E01015590,2017,17.375
E01015590,2018,17.592
E01015590,2019,19.437
E01015590,2020,18.915
E01015591,1998,2.71
E01015591,1999,2.87
E01015591,2000,2.919
E01015591,2001,3.016
E01015591,2002,3.097
E01015591,2003,3.29
E01015591,2004,3.59
E01015591,2005,3.706
E01015591,2006,4.005
E01015591,2007,4.128
E01015591,2008,4.364
E01015591,2009,3.948
E01015591,2010,3.937
E01015591,2011,3.988
E01015591,2012,3.909
E01015591,2013,3.572
E01015591,2014,4.248
E01015591,2015,3.83
E01015591,2016,3.868
E01015591,2017,4.618
E01015591,2018,4.731
E01015591,2019,5.553
E01015591,2020,4.297
E01015592,1998,2.317
E01015592,1999,2.422
E01015592,2000,2.471
E01015592,2001,2.645
E01015592,2002,2.723
E01015592,2003,2.895
E01015592,2004,3.269
E01015592,2005,3.52
E01015592,2006,3.825
E01015592,2007,3.956
E01015592,2008,4.137
E01015592,2009,3.936
E01015592,2010,3.939
E01015592,2011,4.085
E01015592,2012,4.052
E01015592,2013,6.061
E01015592,2014,6.35
E01015592,2015,5.694
E01015592,2016,5.647
E01015592,2017,7.021
E01015592,2018,10.131
E01015592,2019,9.676
E01015592,2020,10.096
E01015593,1998,21.769
E01015593,1999,23.565
E01015593,2000,24.919
E01015593,2001,25.051
E01015593,2002,25.17
E01015593,2003,24.919
E01015593,2004,25.022
E01015593,2005,26.119
E01015593,2006,27.618
E01015593,2007,29.098
E01015593,2008,29.437
E01015593,2009,22.618
E01015593,2010,30.329
E01015593,2011,30.998
E01015593,2012,32.868
E01015593,2013,34.029
E01015593,2014,32.307
E01015593,2015,42.314
E01015593,2016,48.907
E01015593,2017,48.241
E01015593,2018,58.65
E01015593,2019,53.119
E01015593,2020,45.37
E01015594,1998,34.7
E01015594,1999,34.925
E01015594,2000,34.061
E01015594,2001,36.563
E01015594,2002,37.226
E01015594,2003,40.214
E01015594,2004,45.493
E01015594,2005,53.106
E01015594,2006,55.999
E01015594,2007,60.264
E01015594,2008,58.363
E01015594,2009,53.21
E01015594,2010,52.547
E01015594,2011,56.068
E01015594,2012,64.528
E01015594,2013,77.077
E01015594,2014,89.821
E01015594,2015,78.63
E01015594,2016,114.705
E01015594,2017,135.895
E01015594,2018,136.126
E01015594,2019,69.859
E01015594,2020,58.761
E01015595,1998,3.135
E01015595,1999,3.347
E01015595,2000,3.452
E01015595,2001,3.605
E01015595,2002,3.709
E01015595,2003,4.015
E01015595,2004,4.476
E01015595,2005,4.763
E01015595,2006,5.131
E01015595,2007,5.3
E01015595,2008,5.455
E01015595,2009,5.239
E01015595,2010,5.348
E01015595,2011,5.495
E01015595,2012,5.626
E01015595,2013,4.941
E01015595,2014,5.176
E01015595,2015,3.45
E01015595,2016,3.568
E01015595,2017,3.445
E01015595,2018,9.078
E01015595,2019,8.718
E01015595,2020,8.465
E01015596,1998,31.492
E01015596,1999,34.715
E01015596,2000,33.56
E01015596,2001,32.732
E01015596,2002,32.242
E01015596,2003,29.414
E01015596,2004,27.901
E01015596,2005,30.678
E01015596,2006,37.444
E01015596,2007,39.063
E01015596,2008,44.188
E01015596,2009,45.7
E01015596,2010,55.959
E01015596,2011,59.895
E01015596,2012,46.311
E01015596,2013,39.532
E01015596,2014,50.783
E01015596,2015,29.713
E01015596,2016,37.953
E01015596,2017,45.579
E01015596,2018,19.632
E01015596,2019,39.702
E01015596,2020,23.637
E01015597,1998,2.143
E01015597,1999,2.272
E01015597,2000,2.306
E01015597,2001,2.354
E01015597,2002,2.43
E01015597,2003,2.605
E01015597,2004,2.93
E01015597,2005,3.034
E01015597,2006,3.21
E01015597,2007,3.293
E01015597,2008,3.414
E01015597,2009,3.232
E01015597,2010,3.211
E01015597,2011,3.247
E01015597,2012,3.449
E01015597,2013,3.791
E01015597,2014,3.657
E01015597,2015,2.885
E01015597,2016,3.226
E01015597,2017,3.379
E01015597,2018,3.547
E01015597,2019,3.038
E01015597,2020,3.535
E01015598,1998,5.504
E01015598,1999,5.655
E01015598,2000,5.826
E01015598,2001,6.044
E01015598,2002,6.259
E01015598,2003,6.491
E01015598,2004,7.012
E01015598,2005,7.301
E01015598,2006,7.888
E01015598,2007,8.166
E01015598,2008,8.743
E01015598,2009,8.322
E01015598,2010,8.313
E01015598,2011,8.582
E01015598,2012,9.203
E01015598,2013,9.963
E01015598,2014,10.049
E01015598,2015,16.896
E01015598,2016,20.601
E01015598,2017,22.918
E01015598,2018,25.156
E01015598,2019,24.346
E01015598,2020,158.606
E01015599,1998,293.337
E01015599,1999,310.39
E01015599,2000,331.464
E01015599,2001,341.929
E01015599,2002,347.099
E01015599,2003,368.651
E01015599,2004,381.089
E01015599,2005,413.125
E01015599,2006,451.186
E01015599,2007,463.734
E01015599,2008,473.371
E01015599,2009,482.341
E01015599,2010,487.684
E01015599,2011,481.133
E01015599,2012,484.49
E01015599,2013,461.071
E01015599,2014,527.376
E01015599,2015,501.822
E01015599,2016,562.008
E01015599,2017,521.747
E01015599,2018,665.015
E01015599,2019,590.552
E01015599,2020,604.982
E01015600,1998,7.041
E01015600,1999,7.659
E01015600,2000,8.095
E01015600,2001,8.478
E01015600,2002,8.649
E01015600,2003,9.796
E01015600,2004,10.846
E01015600,2005,12.007
E01015600,2006,12.928
E01015600,2007,13.568
E01015600,2008,13.602
E01015600,2009,13.471
E01015600,2010,14.471
E01015600,2011,15.044
E01015600,2012,15.16
E01015600,2013,16.13
E01015600,2014,13.884
E01015600,2015,8.315
E01015600,2016,8.885
E01015600,2017,8.777
E01015600,2018,9.907
E01015600,2019,9.695
E01015600,2020,8.571
E01015601,1998,7.781
E01015601,1999,7.874
E01015601,2000,7.654
E01015601,2001,8.231
E01015601,2002,8.615
E01015601,2003,9.362
E01015601,2004,10.51
E01015601,2005,11.56
E01015601,2006,13.592
E01015601,2007,14.385
E01015601,2008,15.677
E01015601,2009,15.192
E01015601,2010,27.301
E01015601,2011,28.94
E01015601,2012,15.92
E01015601,2013,24.597
E01015601,2014,9.164
E01015601,2015,12.76
